sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
O,B-Titre,VILLE,1,622,1014,Times-Bold,#000,67,103,85,95,,,
O,I,DE,1,622,1014,Times-Bold,#000,108,123,85,95,,,
O,I,SAINTE-ADÈLE,1,622,1014,Times-Bold,#000,127,219,85,95,,,
O,B-Titre,PROVINCE,1,622,1014,Times-Bold,#000,68,132,112,122,,,
O,I,DE,1,622,1014,Times-Bold,#000,137,152,112,122,,,
O,I,QUÉBEC,1,622,1014,Times-Bold,#000,157,206,112,122,,,
O,B-Titre,COMTE,1,622,1014,Times-Bold,#000,67,110,138,149,,Suspect,
O,I,DE,1,622,1014,Times-Bold,#000,114,130,138,149,,,
O,I,BERTRAND,1,622,1014,Times-Bold,#000,135,202,138,149,,,
O,B-Titre,REGLEMENT,1,622,1014,Helvetica-Bold,#000,178,258,200,211,,,
O,I,NO.,1,622,1014,Helvetica-Bold,#000,263,287,200,211,,Suspect,
B-Numero,I,1000-2008-PPC,1,622,1014,Helvetica-Bold,#000,292,398,200,211,,Suspect,
O,B-Alinea,A,1,622,1014,Helvetica,#000,68,74,257,266,,,
O,I,une,1,622,1014,Helvetica,#000,78,94,257,266,,,
O,I,séance,1,622,1014,Helvetica,#000,99,130,257,266,,,
O,I,ordinaire,1,622,1014,Helvetica,#000,134,174,257,266,,,
O,I,du,1,622,1014,Helvetica,#000,178,189,257,266,,,
O,I,Conseil,1,622,1014,Helvetica,#000,194,225,257,266,,Suspect,
O,I,"municipal,",1,622,1014,Helvetica,#000,230,276,257,266,,Suspect,
O,I,tenue,1,622,1014,Helvetica,#000,281,306,257,266,,,
O,I,publiquement,1,622,1014,Helvetica,#000,310,372,257,266,,Suspect,
O,I,le,1,622,1014,Helvetica,#000,377,384,257,266,,Suspect,
O,I,20,1,622,1014,Helvetica,#000,388,399,257,266,,Suspect,
O,I,octobre,1,622,1014,Helvetica,#000,404,437,257,266,,,
O,I,2008,1,622,1014,Helvetica,#000,442,464,257,266,,Suspect,
O,I,à,1,622,1014,Times-Roman,#000,469,474,257,267,,,
O,I,20HOO,1,622,1014,Helvetica,#000,478,507,257,266,,Suspect,
O,I,dans,1,622,1014,Helvetica,#000,68,89,268,277,,,
O,I,la,1,622,1014,Helvetica,#000,93,100,268,277,,Suspect,
O,I,salle,1,622,1014,Helvetica,#000,105,125,268,277,,Suspect,
O,I,du,1,622,1014,Helvetica,#000,130,140,268,277,,,
O,I,Conseil,1,622,1014,Helvetica,#000,145,177,268,277,,Suspect,
O,I,Municipal,1,622,1014,Helvetica,#000,182,223,268,277,,Suspect,
O,I,située,1,622,1014,Helvetica,#000,227,254,268,277,,,
O,I,au,1,622,1014,Helvetica,#000,259,269,268,277,,,
O,I,1386,1,622,1014,Helvetica,#000,275,297,268,277,,,
O,I,de,1,622,1014,Helvetica,#000,301,311,268,277,,,
O,I,la,1,622,1014,Helvetica,#000,316,323,268,277,,Suspect,
O,I,rue,1,622,1014,Helvetica,#000,328,342,268,277,,,
O,I,"Dumouchel,",1,622,1014,Helvetica,#000,346,400,268,277,,Suspect,
O,I,"Sainte-Adèle,",1,622,1014,Helvetica,#000,404,465,268,277,,Suspect,
O,I,province,1,622,1014,Helvetica,#000,470,508,268,277,,,
O,I,de,1,622,1014,Helvetica,#000,68,78,279,288,,,
O,I,"Québec,",1,622,1014,Helvetica,#000,84,121,279,288,,,
O,I,lieu,1,622,1014,Helvetica,#000,127,142,279,288,,Suspect,
O,I,ordinaire,1,622,1014,Helvetica,#000,148,188,279,288,,,
O,I,des,1,622,1014,Helvetica,#000,194,209,279,288,,,
O,I,séances,1,622,1014,Helvetica,#000,215,250,279,288,,,
O,I,à,1,622,1014,Times-Roman,#000,256,261,279,288,,,
O,I,laquelle,1,622,1014,Helvetica,#000,267,301,279,288,,Suspect,
O,I,étaient,1,622,1014,Helvetica,#000,307,339,279,288,,,
O,I,présents,1,622,1014,Helvetica,#000,344,382,279,288,,,
O,I,Madame,1,622,1014,Helvetica,#000,388,426,279,288,,,
O,I,et,1,622,1014,Helvetica,#000,431,440,279,288,,,
O,I,Messieurs,1,622,1014,Helvetica,#000,446,490,279,288,,,
O,I,les,1,622,1014,Helvetica,#000,496,507,279,288,,Suspect,
O,I,Conseillers,1,622,1014,Helvetica,#000,68,117,290,299,,Suspect,
O,B-Liste,Victor,1,622,1014,Helvetica,#000,68,94,312,321,,,
O,I,Mainville,1,622,1014,Helvetica,#000,98,136,312,321,,Suspect,
O,B-Liste,Jean-Pierre,1,622,1014,Helvetica,#000,68,119,323,332,,,
O,I,Pariseau,1,622,1014,Helvetica,#000,122,160,323,332,,,
O,B-Liste,Gabriel,1,622,1014,Helvetica,#000,68,100,334,343,,Suspect,
O,I,D.,1,622,1014,Helvetica,#000,104,113,334,343,,,
O,I,Latour,1,622,1014,Helvetica,#000,117,146,334,343,,,
O,B-Liste,Gary,1,622,1014,Helvetica,#000,68,89,345,353,,,
O,I,Quenneville,1,622,1014,Helvetica,#000,93,146,345,353,,Suspect,
O,B-Liste,André,1,622,1014,Helvetica,#000,68,94,356,364,,,
O,I,Lamarche,1,622,1014,Helvetica,#000,98,142,356,364,,,
O,B-Liste,Nicole,1,622,1014,Helvetica,#000,69,95,366,375,,Suspect,
O,I,Durand,1,622,1014,Helvetica,#000,99,131,366,375,,,
O,O,District,1,622,1014,Helvetica,#000,210,242,312,321,,,
O,O,1,1,622,1014,Helvetica,#000,246,251,312,321,,,
O,O,District,1,622,1014,Helvetica,#000,210,242,323,332,,,
O,O,2,1,622,1014,Helvetica,#000,246,251,323,332,,,
O,O,District,1,622,1014,Helvetica,#000,210,242,334,343,,,
O,O,3,1,622,1014,Helvetica,#000,246,251,334,343,,,
O,O,District,1,622,1014,Helvetica,#000,210,242,345,354,,,
O,O,4,1,622,1014,Helvetica,#000,245,251,345,354,,,
O,O,District,1,622,1014,Helvetica,#000,210,242,356,364,,,
O,O,5,1,622,1014,Helvetica,#000,246,251,356,364,,,
O,O,District,1,622,1014,Helvetica,#000,210,242,367,375,,,
O,O,6,1,622,1014,Helvetica,#000,246,251,367,375,,,
O,B-Alinea,sous,1,622,1014,Helvetica,#000,68,88,388,397,,,
O,I,la,1,622,1014,Helvetica,#000,92,99,388,397,,Suspect,
O,I,présidence,1,622,1014,Helvetica,#000,103,152,388,397,,,
O,I,de,1,622,1014,Helvetica,#000,155,166,388,397,,,
O,I,Monsieur,1,622,1014,Helvetica,#000,170,210,388,397,,,
O,I,le,1,622,1014,Helvetica,#000,213,221,388,397,,Suspect,
O,I,Maire,1,622,1014,Helvetica,#000,225,249,388,397,,,
O,I,Claude,1,622,1014,Helvetica,#000,252,283,388,397,,Suspect,
O,I,Descôteaux,1,622,1014,Helvetica,#000,287,339,388,397,,,
O,B-Alinea,Tous,1,622,1014,Helvetica,#000,68,89,410,419,,,
O,I,membres,1,622,1014,Helvetica,#000,93,135,410,419,,,
O,I,dudit,1,622,1014,Helvetica,#000,139,162,410,419,,,
O,I,Conseil,1,622,1014,Helvetica,#000,165,197,410,419,,Suspect,
O,I,et,1,622,1014,Helvetica,#000,201,209,410,419,,,
O,I,en,1,622,1014,Helvetica,#000,213,223,410,419,,,
O,I,formant,1,622,1014,Helvetica,#000,227,262,410,419,,,
O,I,le,1,622,1014,Helvetica,#000,266,273,410,419,,Suspect,
O,I,quorum.,1,622,1014,Helvetica,#000,277,314,410,419,,,
O,B-Alinea,Conformément,1,622,1014,Helvetica,#000,68,136,432,441,,,
O,I,aux,1,622,1014,Helvetica,#000,141,157,432,441,,,
