sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
B-Titre,B-Tete,Règlement,1,612,1008,ArialMT,#000,90,134,949,959,,Artifact,
I-Titre,I,1323,1,612,1008,ArialMT,#000,136,156,949,959,,Artifact,
I-Titre,I,sur,1,612,1008,ArialMT,#000,159,171,949,959,,Artifact,
I-Titre,I,les,1,612,1008,ArialMT,#000,174,185,949,959,,Artifact,
I-Titre,I,plans,1,612,1008,ArialMT,#000,188,209,949,959,,Artifact,
I-Titre,I,d’aménagement,1,612,1008,ArialMT,#000,212,276,949,959,,Artifact,
I-Titre,I,d’ensemble,1,612,1008,ArialMT,#000,279,325,949,959,,Artifact,
O,I,–,1,612,1008,ArialMT,#000,327,332,949,959,,Artifact,
O,I,21,1,612,1008,ArialMT,#000,335,345,949,959,,Artifact,
O,I,mars,1,612,1008,ArialMT,#000,347,367,949,959,,Artifact,
O,I,2022,1,612,1008,ArialMT,#000,370,390,949,959,,Artifact,
O,I,(Adoption),1,612,1008,ArialMT,#000,392,434,949,959,,Artifact,
B-Titre,B-Titre,RÈGLEMENT,1,612,1008,Arial-BoldMT,#000,349,436,97,113,2,P,Document;Table;TBody;TR;TD;P
I-Titre,I,1323,1,612,1008,Arial-BoldMT,#000,439,470,97,113,2,P,Document;Table;TBody;TR;TD;P
I-Titre,B-Alinea,Concernant,1,612,1008,ArialMT,#000,283,340,126,138,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I,les,1,612,1008,ArialMT,#000,345,359,126,138,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I,plans,1,612,1008,ArialMT,#000,364,391,126,138,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I,d’aménagement,1,612,1008,ArialMT,#000,395,474,126,138,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I,d’ensemble,1,612,1008,ArialMT,#000,479,535,126,138,4,P,Document;Table;TBody;TR;TD;P
I-Titre,I,(PAE),1,612,1008,ArialMT,#000,283,313,139,151,4,P,Document;Table;TBody;TR;TD;P
O,B-Alinea,Séance,1,612,1008,ArialMT,#000,133,170,177,190,7,P,Document;P
O,I,ordinaire,1,612,1008,ArialMT,#000,175,218,177,190,7,P,Document;P
O,I,du,1,612,1008,ArialMT,#000,223,235,177,190,7,P,Document;P
O,I,conseil,1,612,1008,ArialMT,#000,240,274,177,190,7,P,Document;P
O,I,"municipal,",1,612,1008,ArialMT,#000,279,328,177,190,7,P,Document;P
O,I,tenue,1,612,1008,ArialMT,#000,333,361,177,190,7,P,Document;P
O,I,en,1,612,1008,ArialMT,#000,366,378,177,190,7,P,Document;P
O,I,"visioconférence,",1,612,1008,ArialMT,#000,383,462,177,190,7,P,Document;P
O,I,le,1,612,1008,ArialMT,#000,467,476,177,190,7,P,Document;P
O,I,21,1,612,1008,ArialMT,#000,481,493,177,190,7,P,Document;P
O,I,mars,1,612,1008,ArialMT,#000,498,522,177,190,7,P,Document;P
O,I,"2022,",1,612,1008,ArialMT,#000,133,160,190,202,7,P,Document;P
O,I,à,1,612,1008,ArialMT,#000,166,172,190,202,7,P,Document;P
O,I,laquelle,1,612,1008,ArialMT,#000,178,216,190,202,7,P,Document;P
O,I,sont,1,612,1008,ArialMT,#000,221,242,190,202,7,P,Document;P
O,I,présents,1,612,1008,ArialMT,#000,248,290,190,202,7,P,Document;P
O,I,les,1,612,1008,ArialMT,#000,296,310,190,202,7,P,Document;P
O,I,membres,1,612,1008,ArialMT,#000,315,361,190,202,7,P,Document;P
O,I,du,1,612,1008,ArialMT,#000,367,379,190,202,7,P,Document;P
O,I,conseil,1,612,1008,ArialMT,#000,385,419,190,202,7,P,Document;P
O,I,suivants,1,612,1008,ArialMT,#000,425,465,190,202,7,P,Document;P
O,I,formant,1,612,1008,ArialMT,#000,470,508,190,202,7,P,Document;P
O,I,le,1,612,1008,ArialMT,#000,514,522,190,202,7,P,Document;P
O,I,quorum,1,612,1008,ArialMT,#000,133,170,203,215,7,P,Document;P
O,I,:,1,612,1008,ArialMT,#000,173,176,203,215,7,P,Document;P
O,B-Liste,Monsieur,1,612,1008,ArialMT,#000,133,178,228,240,9,P,Document;P
O,I,Richard,1,612,1008,ArialMT,#000,181,219,228,240,9,P,Document;P
O,I,Allard,1,612,1008,ArialMT,#000,222,250,228,240,9,P,Document;P
