sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
B-Titre,B-Pied,Règlement,1,604,995,BCDEEE+Cambria,#000,113,150,938,947,,Artifact,
I-Titre,I,1324,1,604,995,BCDEEE+Cambria,#000,152,170,938,947,,Artifact,
I-Titre,I,–Contribution,1,604,995,BCDFEE+Cambria,#000,171,219,938,947,,Artifact,
I-Titre,I,pour,1,604,995,BCDEEE+Cambria,#000,221,237,938,947,,Artifact,
I-Titre,I,financer,1,604,995,BCDEEE+Cambria,#000,239,267,938,947,,Artifact,
I-Titre,I,une,1,604,995,BCDFEE+Cambria,#000,269,282,938,947,,Artifact,
I-Titre,I,dépense,1,604,995,BCDFEE+Cambria,#000,284,312,938,947,,Artifact,
I-Titre,I,pour,1,604,995,BCDFEE+Cambria,#000,314,330,938,947,,Artifact,
I-Titre,I,"l’ajout,",1,604,995,BCDFEE+Cambria,#000,332,355,938,947,,Artifact,
I-Titre,I,l’agrandissement,1,604,995,BCDFEE+Cambria,#000,357,415,938,947,,Artifact,
I-Titre,I,ou,1,604,995,BCDFEE+Cambria,#000,417,426,938,947,,Artifact,
I-Titre,I,la,1,604,995,BCDFEE+Cambria,#000,428,434,938,947,,Artifact,
I-Titre,I,modification,1,604,995,BCDFEE+Cambria,#000,435,479,938,947,,Artifact,
I-Titre,I,d’infrastructures,1,604,995,BCDFEE+Cambria,#000,113,171,947,956,,Artifact,
I-Titre,I,ou,1,604,995,BCDFEE+Cambria,#000,173,182,947,956,,Artifact,
I-Titre,I,équipements,1,604,995,BCDFEE+Cambria,#000,183,228,947,956,,Artifact,
I-Titre,I,municipaux,1,604,995,BCDFEE+Cambria,#000,229,270,947,956,,Artifact,
O,I,–,1,604,995,BCDFEE+Cambria,#000,271,276,947,956,,Artifact,
O,I,19,1,604,995,BCDEEE+Cambria,#000,277,286,947,956,,Artifact,
O,I,avril,1,604,995,BCDEEE+Cambria,#000,288,304,947,956,,Artifact,
O,I,2022,1,604,995,BCDEEE+Cambria,#000,305,323,947,956,,Artifact,
O,I,(Adoption),1,604,995,BCDEEE+Cambria,#000,325,363,947,956,,Artifact,
O,I,page,1,604,995,BCDEEE+Cambria,#000,498,515,947,956,,Artifact,
O,I,1,1,604,995,BCDEEE+Cambria,#000,516,521,947,956,,Artifact,
O,B-Titre,RÈGLEMENT,1,604,995,Arial-BoldMT,#000,305,391,29,45,2,P,Document;Table;TBody;TR;TD;P
O,I,1324,1,604,995,Arial-BoldMT,#000,395,426,29,45,2,P,Document;Table;TBody;TR;TD;P
O,I,relatif,1,604,995,ArialMT,#000,230,257,58,70,4,P,Document;Table;TBody;TR;TD;P
O,I,au,1,604,995,ArialMT,#000,262,274,58,70,4,P,Document;Table;TBody;TR;TD;P
O,I,paiement,1,604,995,ArialMT,#000,278,323,58,70,4,P,Document;Table;TBody;TR;TD;P
O,I,d’une,1,604,995,ArialMT,#000,328,354,58,70,4,P,Document;Table;TBody;TR;TD;P
O,I,contribution,1,604,995,ArialMT,#000,359,416,58,70,4,P,Document;Table;TBody;TR;TD;P
O,I,pour,1,604,995,ArialMT,#000,420,442,58,70,4,P,Document;Table;TBody;TR;TD;P
O,I,financer,1,604,995,ArialMT,#000,446,485,58,70,4,P,Document;Table;TBody;TR;TD;P
O,I,en,1,604,995,ArialMT,#000,490,502,58,70,4,P,Document;Table;TBody;TR;TD;P
O,I,tout,1,604,995,ArialMT,#000,230,249,71,83,4,P,Document;Table;TBody;TR;TD;P
O,I,ou,1,604,995,ArialMT,#000,259,272,71,83,4,P,Document;Table;TBody;TR;TD;P
O,I,en,1,604,995,ArialMT,#000,282,295,71,83,4,P,Document;Table;TBody;TR;TD;P
O,I,partie,1,604,995,ArialMT,#000,305,333,71,83,4,P,Document;Table;TBody;TR;TD;P
O,I,une,1,604,995,ArialMT,#000,343,362,71,83,4,P,Document;Table;TBody;TR;TD;P
O,I,dépense,1,604,995,ArialMT,#000,372,415,71,83,4,P,Document;Table;TBody;TR;TD;P
O,I,liée,1,604,995,ArialMT,#000,425,442,71,83,4,P,Document;Table;TBody;TR;TD;P
O,I,à,1,604,995,ArialMT,#000,453,459,71,83,4,P,Document;Table;TBody;TR;TD;P
O,I,"l’ajout,",1,604,995,ArialMT,#000,470,502,71,83,4,P,Document;Table;TBody;TR;TD;P
O,I,l’agrandissement,1,604,995,ArialMT,#000,230,314,84,96,4,P,Document;Table;TBody;TR;TD;P
O,I,ou,1,604,995,ArialMT,#000,317,329,84,96,4,P,Document;Table;TBody;TR;TD;P
O,I,la,1,604,995,ArialMT,#000,333,342,84,96,4,P,Document;Table;TBody;TR;TD;P
O,I,modification,1,604,995,ArialMT,#000,345,404,84,96,4,P,Document;Table;TBody;TR;TD;P
O,I,d’infrastructures,1,604,995,ArialMT,#000,408,486,84,96,4,P,Document;Table;TBody;TR;TD;P
O,I,ou,1,604,995,ArialMT,#000,489,502,84,96,4,P,Document;Table;TBody;TR;TD;P
O,I,d’équipements,1,604,995,ArialMT,#000,230,302,96,108,4,P,Document;Table;TBody;TR;TD;P
O,I,municipaux,1,604,995,ArialMT,#000,305,361,96,108,4,P,Document;Table;TBody;TR;TD;P
O,B-Alinea,Séance,1,604,995,ArialMT,#000,113,151,135,147,7,P,Document;P
O,I,ordinaire,1,604,995,ArialMT,#000,156,198,135,147,7,P,Document;P
O,I,du,1,604,995,ArialMT,#000,203,215,135,147,7,P,Document;P
O,I,conseil,1,604,995,ArialMT,#000,220,254,135,147,7,P,Document;P
O,I,"municipal,",1,604,995,ArialMT,#000,259,308,135,147,7,P,Document;P
O,I,tenue,1,604,995,ArialMT,#000,313,341,135,147,7,P,Document;P
O,I,publiquement,1,604,995,ArialMT,#000,346,412,135,147,7,P,Document;P
O,I,le,1,604,995,ArialMT,#000,416,425,135,147,7,P,Document;P
O,I,19,1,604,995,ArialMT,#000,430,442,135,147,7,P,Document;P
O,I,avril,1,604,995,ArialMT,#000,447,467,135,147,7,P,Document;P
O,I,2022,1,604,995,ArialMT,#000,471,496,135,147,7,P,Document;P
