sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
O,B-Titre,CODIFICATION,1,612,1008,"ABCDEE+Arial,Bold",#000,254,334,184,196,7,P,Part;P
O,I,ADMINISTRATIVE,1,612,1008,"ABCDEE+Arial,Bold",#000,337,429,184,196,7,P,Part;P
O,B-Alinea,Mise,1,612,1008,ABCDEE+Arial,#000,108,131,235,247,11,P,Part;P
O,I,en,1,612,1008,ABCDEE+Arial,#000,134,146,235,247,11,P,Part;P
O,I,garde,1,612,1008,ABCDEE+Arial,#000,150,178,235,247,11,P,Part;P
O,B-Alinea,Le,1,612,1008,ABCDEE+Arial,#000,108,120,261,273,13,P,Part;P
O,I,lecteur,1,612,1008,ABCDEE+Arial,#000,124,157,261,273,13,P,Part;P
O,I,est,1,612,1008,ABCDEE+Arial,#000,161,176,261,273,13,P,Part;P
O,I,par,1,612,1008,ABCDEE+Arial,#000,180,196,261,273,13,P,Part;P
O,I,les,1,612,1008,ABCDEE+Arial,#000,200,214,261,273,13,P,Part;P
O,I,présentes,1,612,1008,ABCDEE+Arial,#000,218,266,261,273,13,P,Part;P
O,I,avisé,1,612,1008,ABCDEE+Arial,#000,270,296,261,273,13,P,Part;P
O,I,que,1,612,1008,ABCDEE+Arial,#000,300,318,261,273,13,P,Part;P
O,I,toute,1,612,1008,ABCDEE+Arial,#000,322,347,261,273,13,P,Part;P
O,I,erreur,1,612,1008,ABCDEE+Arial,#000,350,380,261,273,13,P,Part;P
O,I,ou,1,612,1008,ABCDEE+Arial,#000,384,396,261,273,13,P,Part;P
O,I,omission,1,612,1008,ABCDEE+Arial,#000,400,443,261,273,13,P,Part;P
O,I,qui,1,612,1008,ABCDEE+Arial,#000,447,462,261,273,13,P,Part;P
O,I,pourrait,1,612,1008,ABCDEE+Arial,#000,466,503,261,273,13,P,Part;P
O,I,être,1,612,1008,ABCDEE+Arial,#000,507,526,261,273,13,P,Part;P
O,I,relevée,1,612,1008,ABCDEE+Arial,#000,108,144,273,286,13,P,Part;P
O,I,dans,1,612,1008,ABCDEE+Arial,#000,148,172,273,286,13,P,Part;P
O,I,le,1,612,1008,ABCDEE+Arial,#000,176,184,273,286,13,P,Part;P
O,I,texte,1,612,1008,ABCDEE+Arial,#000,188,212,273,286,13,P,Part;P
O,I,ci-après,1,612,1008,ABCDEE+Arial,#000,216,255,273,286,13,P,Part;P
O,I,n'a,1,612,1008,ABCDEE+Arial,#000,259,274,273,286,13,P,Part;P
O,I,pas,1,612,1008,ABCDEE+Arial,#000,278,295,273,286,13,P,Part;P
O,I,pour,1,612,1008,ABCDEE+Arial,#000,299,321,273,286,13,P,Part;P
O,I,effet,1,612,1008,ABCDEE+Arial,#000,325,347,273,286,13,P,Part;P
O,I,de,1,612,1008,ABCDEE+Arial,#000,351,363,273,286,13,P,Part;P
O,I,diminuer,1,612,1008,ABCDEE+Arial,#000,367,409,273,286,13,P,Part;P
O,I,le,1,612,1008,ABCDEE+Arial,#000,413,422,273,286,13,P,Part;P
O,I,caractère,1,612,1008,ABCDEE+Arial,#000,425,471,273,286,13,P,Part;P
O,I,exécutoire,1,612,1008,ABCDEE+Arial,#000,475,526,273,286,13,P,Part;P
O,I,des,1,612,1008,ABCDEE+Arial,#000,108,126,286,298,13,P,Part;P
O,I,règlements,1,612,1008,ABCDEE+Arial,#000,131,186,286,298,13,P,Part;P
O,I,et,1,612,1008,ABCDEE+Arial,#000,191,200,286,298,13,P,Part;P
O,I,"amendements,",1,612,1008,ABCDEE+Arial,#000,205,278,286,298,13,P,Part;P
O,I,tels,1,612,1008,ABCDEE+Arial,#000,283,300,286,298,13,P,Part;P
O,I,que,1,612,1008,ABCDEE+Arial,#000,305,324,286,298,13,P,Part;P
O,I,sanctionnés,1,612,1008,ABCDEE+Arial,#000,328,387,286,298,13,P,Part;P
O,I,dans,1,612,1008,ABCDEE+Arial,#000,392,416,286,298,13,P,Part;P
O,I,leur,1,612,1008,ABCDEE+Arial,#000,421,439,286,298,13,P,Part;P
O,I,version,1,612,1008,ABCDEE+Arial,#000,444,480,286,298,13,P,Part;P
O,I,originale,1,612,1008,ABCDEE+Arial,#000,485,526,286,298,13,P,Part;P
O,I,disponible,1,612,1008,ABCDEE+Arial,#000,108,157,299,311,13,P,Part;P
O,I,au,1,612,1008,ABCDEE+Arial,#000,162,174,299,311,13,P,Part;P
O,I,Service,1,612,1008,ABCDEE+Arial,#000,179,215,299,311,13,P,Part;P
