sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
O,B-Titre,VILLE,1,612,1008,Verdana-Bold,#000,108,141,95,107,,,
O,I,DE,1,612,1008,Verdana-Bold,#000,144,159,95,107,,,
O,I,SAINTE-ADÈLE,1,612,1008,Verdana-Bold,#000,163,246,95,107,,,
O,B-Titre,PROVINCE,1,612,1008,Verdana-Bold,#000,108,167,119,131,,,
O,I,DE,1,612,1008,Verdana-Bold,#000,171,186,119,131,,,
O,I,QUÉBEC,1,612,1008,Verdana-Bold,#000,189,235,119,131,,,
O,B-Titre,COMTE,1,612,1008,Verdana-Bold,#000,108,147,143,155,,,
O,I,DE,1,612,1008,Verdana-Bold,#000,150,166,143,155,,,
O,I,BERTRAND,1,612,1008,Verdana-Bold,#000,169,231,143,155,,,
O,B-Titre,RÈGLEMENT,1,612,1008,Verdana-Bold,#000,249,317,206,218,,,
O,I,NO.,1,612,1008,Verdana-Bold,#000,320,341,206,218,,,
B-Numero,I,1144-2010,1,612,1008,Verdana-Bold,#000,344,406,206,218,,,
O,B-Alinea,A,1,612,1008,Verdana,#000,108,114,261,272,,,
O,I,une,1,612,1008,Verdana,#000,119,136,261,272,,,
O,I,séance,1,612,1008,Verdana,#000,140,171,261,272,,,
O,I,ordinaire,1,612,1008,Verdana,#000,176,216,261,272,,,
O,I,du,1,612,1008,Verdana,#000,221,232,261,272,,,
O,I,Conseil,1,612,1008,Verdana,#000,237,269,261,272,,,
O,I,"municipal,",1,612,1008,Verdana,#000,274,321,261,272,,,
O,I,tenue,1,612,1008,Verdana,#000,325,351,261,272,,,
O,I,publiquement,1,612,1008,Verdana,#000,356,418,261,272,,,
O,I,le,1,612,1008,Verdana,#000,422,430,261,272,,,
O,I,18,1,612,1008,Verdana,#000,435,446,261,272,,,
O,I,octobre,1,612,1008,Verdana,#000,451,485,261,272,,,
O,I,2010,1,612,1008,Verdana,#000,489,512,261,272,,,
O,I,à,1,612,1008,Verdana,#000,517,522,261,272,,,
O,I,"20h,",1,612,1008,Verdana,#000,527,547,261,272,,,
O,I,dans,1,612,1008,Verdana,#000,108,129,272,283,,,
O,I,la,1,612,1008,Verdana,#000,133,141,272,283,,,
O,I,salle,1,612,1008,Verdana,#000,145,166,272,283,,,
O,I,du,1,612,1008,Verdana,#000,170,181,272,283,,,
O,I,Conseil,1,612,1008,Verdana,#000,185,217,272,283,,,
O,I,Municipal,1,612,1008,Verdana,#000,221,263,272,283,,,
O,I,située,1,612,1008,Verdana,#000,267,295,272,283,,,
O,I,au,1,612,1008,Verdana,#000,299,310,272,283,,,
O,I,1386,1,612,1008,Verdana,#000,314,336,272,283,,,
