sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
O,B-Titre,VILLE,1,618,1012,Times-Bold,#000,106,135,91,100,,,
O,I,DE,1,618,1012,Times-Bold,#000,139,152,91,100,,,
O,I,SAINTE-ADÈLE,1,618,1012,Times-Bold,#000,155,230,91,100,,,
O,B-Titre,PROVINCE,1,618,1012,Times-Bold,#000,107,159,113,121,,Suspect,
O,I,DE,1,618,1012,Times-Bold,#000,163,176,113,121,,,
O,I,QUÉBEC,1,618,1012,Times-Bold,#000,180,220,113,121,,Suspect,
O,B-Titre,COMTÉ,1,618,1012,Times-Bold,#000,107,141,135,143,,Suspect,
O,I,DE,1,618,1012,Times-Bold,#000,145,158,135,143,,,
O,I,BERTRAND,1,618,1012,Times-Bold,#000,162,216,135,143,,,
O,B-Titre,RÈGLEMENT,1,618,1012,Helvetica-Bold,#000,241,314,197,207,,,
O,I,NO.,1,618,1012,Helvetica-Bold,#000,319,340,197,207,,Suspect,
O,I,1174-2012,1,618,1012,Helvetica-Bold,#000,346,412,197,207,,,
O,B-Alinea,À,1,618,1012,Helvetica,#000,107,114,252,261,,,
O,I,une,1,618,1012,Helvetica,#000,117,134,252,261,,,
O,I,séance,1,618,1012,Helvetica,#000,138,168,252,261,,,
O,I,ordinaire,1,618,1012,Helvetica,#000,173,212,252,261,,,
O,I,du,1,618,1012,Helvetica,#000,217,227,252,261,,,
O,I,conseil,1,618,1012,Helvetica,#000,232,262,252,261,,,
O,I,"municipal,",1,618,1012,Helvetica,#000,266,312,252,261,,,
O,I,tenue,1,618,1012,Helvetica,#000,316,342,252,261,,,
O,I,publiquement,1,618,1012,Helvetica,#000,346,408,252,261,,,
O,I,le,1,618,1012,Helvetica,#000,412,419,252,261,,,
O,I,17,1,618,1012,Helvetica,#000,424,434,252,261,,,
O,I,septembre,1,618,1012,Helvetica,#000,438,486,252,261,,,
O,I,2012,1,618,1012,Helvetica,#000,490,513,252,261,,Suspect,
O,I,à,1,618,1012,Times-Roman,#000,517,521,252,261,,,
O,I,"20h,",1,618,1012,Helvetica,#000,526,545,252,261,,Suspect,
O,I,dans,1,618,1012,Helvetica,#000,107,129,263,272,,,
O,I,la,1,618,1012,Helvetica,#000,133,140,263,272,,,
O,I,salle,1,618,1012,Helvetica,#000,144,165,263,272,,,
O,I,du,1,618,1012,Helvetica,#000,169,179,263,272,,,
O,I,Conseil,1,618,1012,Helvetica,#000,184,215,263,272,,,
O,I,municipal,1,618,1012,Helvetica,#000,220,263,263,272,,,
O,I,située,1,618,1012,Helvetica,#000,267,294,263,272,,,
O,I,au,1,618,1012,Helvetica,#000,298,309,263,272,,,
O,I,1386,1,618,1012,Helvetica,#000,314,336,263,272,,,
O,I,de,1,618,1012,Helvetica,#000,340,351,263,272,,,
O,I,la,1,618,1012,Helvetica,#000,355,362,263,272,,,
O,I,rue,1,618,1012,Helvetica,#000,367,381,263,272,,,
O,I,"Dumouchel,",1,618,1012,Helvetica,#000,386,439,263,272,,,
O,I,"Sainte-Adèle,",1,618,1012,Helvetica,#000,443,503,263,272,,,
O,I,province,1,618,1012,Helvetica,#000,508,546,263,272,,,
O,I,de,1,618,1012,Helvetica,#000,107,118,274,283,,,
O,I,"Québec,",1,618,1012,Helvetica,#000,123,159,274,283,,,
