sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
O,B-Titre,COMPILATION,1,612,1008,"Arial,Bold",#000,202,314,184,202,7,P,Part;P
O,I,ADMINISTRATIVE,1,612,1008,"Arial,Bold",#000,318,453,184,202,7,P,Part;P
O,B-Alinea,Mise,1,612,1008,Arial,#000,87,110,241,253,11,P,Part;P
O,I,en,1,612,1008,Arial,#000,113,125,241,253,11,P,Part;P
O,I,garde,1,612,1008,Arial,#000,128,156,241,253,11,P,Part;P
O,B-Alinea,Le,1,612,1008,Arial,#000,87,99,266,279,13,P,Part;P
O,I,lecteur,1,612,1008,Arial,#000,104,137,266,279,13,P,Part;P
O,I,est,1,612,1008,Arial,#000,143,158,266,279,13,P,Part;P
O,I,par,1,612,1008,Arial,#000,163,179,266,279,13,P,Part;P
O,I,les,1,612,1008,Arial,#000,185,199,266,279,13,P,Part;P
O,I,présentes,1,612,1008,Arial,#000,204,252,266,279,13,P,Part;P
O,I,avisé,1,612,1008,Arial,#000,258,283,266,279,13,P,Part;P
O,I,que,1,612,1008,Arial,#000,289,307,266,279,13,P,Part;P
O,I,toute,1,612,1008,Arial,#000,313,337,266,279,13,P,Part;P
O,I,erreur,1,612,1008,Arial,#000,343,372,266,279,13,P,Part;P
O,I,ou,1,612,1008,Arial,#000,377,390,266,279,13,P,Part;P
O,I,omission,1,612,1008,Arial,#000,395,439,266,279,13,P,Part;P
O,I,qui,1,612,1008,Arial,#000,444,459,266,279,13,P,Part;P
O,I,pourrait,1,612,1008,Arial,#000,464,501,266,279,13,P,Part;P
O,I,être,1,612,1008,Arial,#000,507,526,266,279,13,P,Part;P
O,I,relevée,1,612,1008,Arial,#000,87,123,279,291,13,P,Part;P
O,I,dans,1,612,1008,Arial,#000,127,151,279,291,13,P,Part;P
O,I,le,1,612,1008,Arial,#000,154,163,279,291,13,P,Part;P
O,I,texte,1,612,1008,Arial,#000,167,191,279,291,13,P,Part;P
O,I,ci-après,1,612,1008,Arial,#000,195,234,279,291,13,P,Part;P
O,I,n'a,1,612,1008,Arial,#000,238,252,279,291,13,P,Part;P
O,I,pas,1,612,1008,Arial,#000,256,274,279,291,13,P,Part;P
O,I,pour,1,612,1008,Arial,#000,278,300,279,291,13,P,Part;P
O,I,effet,1,612,1008,Arial,#000,304,325,279,291,13,P,Part;P
O,I,de,1,612,1008,Arial,#000,329,342,279,291,13,P,Part;P
O,I,diminuer,1,612,1008,Arial,#000,345,388,279,291,13,P,Part;P
O,I,le,1,612,1008,Arial,#000,391,400,279,291,13,P,Part;P
O,I,caractère,1,612,1008,Arial,#000,404,450,279,291,13,P,Part;P
O,I,exécutoire,1,612,1008,Arial,#000,454,504,279,291,13,P,Part;P
O,I,des,1,612,1008,Arial,#000,508,526,279,291,13,P,Part;P
O,I,règlements,1,612,1008,Arial,#000,87,141,292,304,13,P,Part;P
O,I,et,1,612,1008,Arial,#000,145,155,292,304,13,P,Part;P
O,I,"amendements,",1,612,1008,Arial,#000,159,232,292,304,13,P,Part;P
O,I,tels,1,612,1008,Arial,#000,236,253,292,304,13,P,Part;P
O,I,que,1,612,1008,Arial,#000,257,275,292,304,13,P,Part;P
O,I,sanctionnés,1,612,1008,Arial,#000,279,338,292,304,13,P,Part;P
O,I,dans,1,612,1008,Arial,#000,342,366,292,304,13,P,Part;P
O,I,leur,1,612,1008,Arial,#000,370,388,292,304,13,P,Part;P
O,I,version,1,612,1008,Arial,#000,392,427,292,304,13,P,Part;P
O,I,originale,1,612,1008,Arial,#000,431,473,292,304,13,P,Part;P
O,I,disponible,1,612,1008,Arial,#000,477,526,292,304,13,P,Part;P
O,I,au,1,612,1008,Arial,#000,87,99,304,317,13,P,Part;P
O,I,Service,1,612,1008,Arial,#000,102,139,304,317,13,P,Part;P
O,I,du,1,612,1008,Arial,#000,143,155,304,317,13,P,Part;P
O,I,greffe.,1,612,1008,Arial,#000,159,190,304,317,13,P,Part;P
O,I,Pour,1,612,1008,Arial,#000,194,217,304,317,13,P,Part;P
O,I,vérifier,1,612,1008,Arial,#000,221,254,304,317,13,P,Part;P
O,I,les,1,612,1008,Arial,#000,257,271,304,317,13,P,Part;P
O,I,dispositions,1,612,1008,Arial,#000,275,332,304,317,13,P,Part;P
O,I,"applicables,",1,612,1008,Arial,#000,336,394,304,317,13,P,Part;P
O,I,le,1,612,1008,Arial,#000,398,406,304,317,13,P,Part;P
O,I,lecteur,1,612,1008,Arial,#000,409,443,304,317,13,P,Part;P
O,I,pourra,1,612,1008,Arial,#000,446,478,304,317,13,P,Part;P
O,I,consulter,1,612,1008,Arial,#000,482,526,304,317,13,P,Part;P
O,I,le,1,612,1008,Arial,#000,87,95,317,329,13,P,Part;P
O,I,texte,1,612,1008,Arial,#000,98,122,317,329,13,P,Part;P
O,I,officiel,1,612,1008,Arial,#000,125,157,317,329,13,P,Part;P
O,I,au,1,612,1008,Arial,#000,160,172,317,329,13,P,Part;P
O,I,Service,1,612,1008,Arial,#000,175,212,317,329,13,P,Part;P
O,I,du,1,612,1008,Arial,#000,215,227,317,329,13,P,Part;P
O,I,greffe,1,612,1008,Arial,#000,230,259,317,329,13,P,Part;P
O,I,de,1,612,1008,Arial,#000,262,274,317,329,13,P,Part;P
O,I,la,1,612,1008,Arial,#000,277,286,317,329,13,P,Part;P
O,I,ville,1,612,1008,Arial,#000,289,308,317,329,13,P,Part;P
O,I,de,1,612,1008,Arial,#000,311,323,317,329,13,P,Part;P
O,I,Sainte-Adèle.,1,612,1008,Arial,#000,326,392,317,329,13,P,Part;P
O,B-Alinea,La,1,612,1008,Arial,#000,87,99,343,355,15,P,Part;P
O,I,mention,1,612,1008,Arial,#000,102,142,343,355,15,P,Part;P
O,I,«,1,612,1008,Arial,#000,145,151,343,355,15,P,Part;P
O,I,Modifié,1,612,1008,"Arial,Italic",#000,155,190,343,355,15,P,Part;P
O,I,par,1,612,1008,"Arial,Italic",#000,194,210,343,355,15,P,Part;P
O,I,:,1,612,1008,"Arial,Italic",#000,214,217,343,355,15,P,Part;P
O,I,»,1,612,1008,Arial,#000,220,227,343,355,15,P,Part;P
O,I,à,1,612,1008,Arial,#000,230,236,343,355,15,P,Part;P
O,I,la,1,612,1008,Arial,#000,240,248,343,355,15,P,Part;P
O,I,fin,1,612,1008,Arial,#000,252,264,343,355,15,P,Part;P
O,I,d’un,1,612,1008,Arial,#000,267,288,343,355,15,P,Part;P
O,I,article,1,612,1008,Arial,#000,292,321,343,355,15,P,Part;P
O,I,indique,1,612,1008,Arial,#000,325,360,343,355,15,P,Part;P
O,I,que,1,612,1008,Arial,#000,364,382,343,355,15,P,Part;P
O,I,ce,1,612,1008,Arial,#000,386,397,343,355,15,P,Part;P
O,I,dernier,1,612,1008,Arial,#000,401,435,343,355,15,P,Part;P
O,I,a,1,612,1008,Arial,#000,439,445,343,355,15,P,Part;P
O,I,fait,1,612,1008,Arial,#000,449,463,343,355,15,P,Part;P
O,I,l’objet,1,612,1008,Arial,#000,467,496,343,355,15,P,Part;P
O,I,d'une,1,612,1008,Arial,#000,499,526,343,355,15,P,Part;P
O,I,ou,1,612,1008,Arial,#000,87,99,355,368,15,P,Part;P
O,I,plusieurs,1,612,1008,Arial,#000,102,146,355,368,15,P,Part;P
O,I,modifications,1,612,1008,Arial,#000,149,214,355,368,15,P,Part;P
O,I,dont,1,612,1008,Arial,#000,217,238,355,368,15,P,Part;P
O,I,la,1,612,1008,Arial,#000,241,250,355,368,15,P,Part;P
O,I,référence,1,612,1008,Arial,#000,253,300,355,368,15,P,Part;P
O,I,est,1,612,1008,Arial,#000,303,318,355,368,15,P,Part;P
O,I,alors,1,612,1008,Arial,#000,321,345,355,368,15,P,Part;P
O,I,précisée.,1,612,1008,Arial,#000,348,392,355,368,15,P,Part;P
B-Titre,B-Titre,RÈGLEMENT,1,612,1008,"Arial,Bold",#000,87,156,407,419,19,P,Part;P
I-Titre,I,1176-2012,1,612,1008,"Arial,Bold",#000,159,211,407,419,19,P,Part;P
I-Titre,I,CONCERNANT,1,612,1008,"Arial,Bold",#f00,108,186,433,445,21,P,Part;P
I-Titre,I,LES,1,612,1008,"Arial,Bold",#f00,189,210,433,445,21,P,Part;P
I-Titre,I,VENTES,1,612,1008,"Arial,Bold",#f00,213,257,433,445,21,P,Part;P
I-Titre,I,DE,1,612,1008,"Arial,Bold",#f00,260,275,433,445,21,P,Part;P
I-Titre,I,GARAGES,1,612,1008,"Arial,Bold",#f00,278,333,433,445,21,P,Part;P
I-Titre,I,ET,1,612,1008,"Arial,Bold",#f00,337,351,433,445,21,P,Part;P
I-Titre,I,LES,1,612,1008,"Arial,Bold",#f00,354,375,433,445,21,P,Part;P
I-Titre,I,BAZARS,1,612,1008,"Arial,Bold",#f00,378,423,433,445,21,P,Part;P
I-Titre,I,SUR,1,612,1008,"Arial,Bold",#f00,426,449,433,445,21,P,Part;P
I-Titre,I,LE,1,612,1008,"Arial,Bold",#f00,452,467,433,445,21,P,Part;P
I-Titre,I,TERRITOIRE,1,612,1008,"Arial,Bold",#f00,108,175,446,458,21,P,Part;P
I-Titre,I,DE,1,612,1008,"Arial,Bold",#f00,178,193,446,458,21,P,Part;P
I-Titre,I,LA,1,612,1008,"Arial,Bold",#f00,196,211,446,458,21,P,Part;P
I-Titre,I,VILLE,1,612,1008,"Arial,Bold",#f00,213,245,446,458,21,P,Part;P
I-Titre,I,DE,1,612,1008,"Arial,Bold",#f00,248,263,446,458,21,P,Part;P
I-Titre,I,SAINTE-ADÈLE,1,612,1008,Arial,#f00,266,347,446,458,21,P,Part;P
O,B-Titre,Règlement,1,612,1008,Arial,#000,87,140,497,510,25,P,Part;P
O,I,"1176-2012,",1,612,1008,Arial,#000,143,199,497,510,25,P,Part;P
O,I,adopté,1,612,1008,Arial,#000,202,236,497,510,25,P,Part;P
O,I,le,1,612,1008,Arial,#000,239,247,497,510,25,P,Part;P
O,I,15,1,612,1008,Arial,#000,251,263,497,510,25,P,Part;P
O,I,octobre,1,612,1008,Arial,#000,266,303,497,510,25,P,Part;P
O,I,"2012,",1,612,1008,Arial,#000,306,333,497,510,25,P,Part;P
O,I,entré,1,612,1008,Arial,#000,337,362,497,510,25,P,Part;P
O,I,en,1,612,1008,Arial,#000,365,377,497,510,25,P,Part;P
O,I,vigueur,1,612,1008,Arial,#000,380,416,497,510,25,P,Part;P
O,I,le,1,612,1008,Arial,#000,420,428,497,510,25,P,Part;P
O,I,24,1,612,1008,Arial,#000,431,444,497,510,25,P,Part;P
O,I,octobre,1,612,1008,Arial,#000,447,483,497,510,25,P,Part;P
O,I,2012,1,612,1008,Arial,#000,487,511,497,510,25,P,Part;P
O,B-Alinea,Amendé,1,612,1008,Arial,#000,87,128,523,535,27,P,Part;P
O,I,par,1,612,1008,Arial,#000,131,147,523,535,27,P,Part;P
O,I,les,1,612,1008,Arial,#000,150,164,523,535,27,P,Part;P
O,I,règlements,1,612,1008,Arial,#000,167,222,523,535,27,P,Part;P
O,I,suivants,1,612,1008,Arial,#000,225,265,523,535,27,P,Part;P
O,I,:,1,612,1008,Arial,#000,268,271,523,535,27,P,Part;P
O,B-Liste,,1,612,1008,Arial,#000,90,95,548,561,29,P,Part;L;LI;LBody
O,I,"1176-1,",1,612,1008,Arial,#000,108,145,549,561,29,P,Part;L;LI;LBody
O,I,adopté,1,612,1008,Arial,#000,149,182,549,561,29,P,Part;L;LI;LBody
O,I,le,1,612,1008,Arial,#000,185,194,549,561,29,P,Part;L;LI;LBody
O,I,15,1,612,1008,Arial,#000,197,209,549,561,29,P,Part;L;LI;LBody
O,I,juillet,1,612,1008,Arial,#000,212,237,549,561,29,P,Part;L;LI;LBody
O,I,"2013,",1,612,1008,Arial,#000,241,268,549,561,29,P,Part;L;LI;LBody
O,I,entré,1,612,1008,Arial,#000,271,297,549,561,29,P,Part;L;LI;LBody
O,I,en,1,612,1008,Arial,#000,300,312,549,561,29,P,Part;L;LI;LBody
O,I,vigueur,1,612,1008,Arial,#000,315,351,549,561,29,P,Part;L;LI;LBody
O,I,le,1,612,1008,Arial,#000,354,363,549,561,29,P,Part;L;LI;LBody
O,I,24,1,612,1008,Arial,#000,366,378,549,561,29,P,Part;L;LI;LBody
O,I,juillet,1,612,1008,Arial,#000,381,406,549,561,29,P,Part;L;LI;LBody
O,I,2013,1,612,1008,Arial,#000,410,434,549,561,29,P,Part;L;LI;LBody
O,I,;,1,612,1008,Arial,#000,437,440,549,561,29,P,Part;L;LI;LBody
O,B-Tete,2,2,612,1008,Times New Roman,#000,541,547,37,50,,Artifact,
O,B-Titre,VILLE,2,612,1008,"ABCDEE+Verdana,Bold",#000,108,140,83,95,1,P,Part;H1
O,I,DE,2,612,1008,"ABCDEE+Verdana,Bold",#000,144,159,83,95,1,P,Part;H1
O,I,SAINTE-ADÈLE,2,612,1008,"ABCDEE+Verdana,Bold",#000,162,245,83,95,1,P,Part;H1
O,B-Titre,PROVINCE,2,612,1008,"ABCDEE+Verdana,Bold",#000,108,167,107,119,3,P,Part;P
O,I,DE,2,612,1008,"ABCDEE+Verdana,Bold",#000,170,185,107,119,3,P,Part;P
O,I,QUÉBEC,2,612,1008,"ABCDEE+Verdana,Bold",#000,189,234,107,119,3,P,Part;P
O,B-Titre,COMTE,2,612,1008,"ABCDEE+Verdana,Bold",#000,108,147,131,143,5,P,Part;P
O,I,DE,2,612,1008,"ABCDEE+Verdana,Bold",#000,150,165,131,143,5,P,Part;P
O,I,BERTRAND,2,612,1008,"ABCDEE+Verdana,Bold",#000,169,230,131,143,5,P,Part;P
