sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
B-Titre,B-Pied,Règlement,1,604,995,ABCDEE+Cambria,#000,88,125,961,970,,Artifact,
I-Titre,I,1251,1,604,995,ABCDEE+Cambria,#000,126,144,961,970,,Artifact,
I-Titre,I,–,1,604,995,ABCDEE+Cambria,#000,146,150,961,970,,Artifact,
I-Titre,I,Rémunération,1,604,995,ABCDEE+Cambria,#000,152,202,961,970,,Artifact,
I-Titre,I,des,1,604,995,ABCDEE+Cambria,#000,203,215,961,970,,Artifact,
I-Titre,I,élus,1,604,995,ABCDEE+Cambria,#000,217,231,961,970,,Artifact,
O,I,(Compilation,1,604,995,ABCDEE+Cambria,#000,233,278,961,970,,Artifact,
O,I,administrative,1,604,995,ABCDEE+Cambria,#000,280,331,961,970,,Artifact,
O,I,au,1,604,995,ABCDEE+Cambria,#000,333,341,961,970,,Artifact,
O,I,1251-1),1,604,995,ABCDEE+Cambria,#000,343,371,961,970,,Artifact,
O,I,Page,1,604,995,ABCDEE+Cambria,#000,478,494,961,970,,Artifact,
O,I,1,1,604,995,ABCDEE+Cambria,#000,496,500,961,970,,Artifact,
O,B-Titre,COMPILATION,1,604,995,"ABCDEE+Arial,Bold",#000,148,260,168,186,8,P,Part;P
O,I,ADMINISTRATIVE,1,604,995,"ABCDEE+Arial,Bold",#000,264,400,168,186,8,P,Part;P
O,B-Alinea,Mise,1,604,995,ABCDEE+Arial,#000,88,111,224,236,12,P,Part;P
O,I,en,1,604,995,ABCDEE+Arial,#000,114,126,224,236,12,P,Part;P
O,I,garde,1,604,995,ABCDEE+Arial,#000,129,158,224,236,12,P,Part;P
O,B-Alinea,Le,1,604,995,ABCDEE+Arial,#000,88,100,249,262,14,P,Part;P
O,I,lecteur,1,604,995,ABCDEE+Arial,#000,103,136,249,262,14,P,Part;P
O,I,est,1,604,995,ABCDEE+Arial,#000,139,154,249,262,14,P,Part;P
O,I,par,1,604,995,ABCDEE+Arial,#000,157,173,249,262,14,P,Part;P
O,I,les,1,604,995,ABCDEE+Arial,#000,176,190,249,262,14,P,Part;P
O,I,présentes,1,604,995,ABCDEE+Arial,#000,193,241,249,262,14,P,Part;P
O,I,avisé,1,604,995,ABCDEE+Arial,#000,244,270,249,262,14,P,Part;P
O,I,que,1,604,995,ABCDEE+Arial,#000,273,291,249,262,14,P,Part;P
O,I,toute,1,604,995,ABCDEE+Arial,#000,294,319,249,262,14,P,Part;P
O,I,erreur,1,604,995,ABCDEE+Arial,#000,322,351,249,262,14,P,Part;P
O,I,ou,1,604,995,ABCDEE+Arial,#000,354,367,249,262,14,P,Part;P
O,I,omission,1,604,995,ABCDEE+Arial,#000,370,413,249,262,14,P,Part;P
O,I,qui,1,604,995,ABCDEE+Arial,#000,416,431,249,262,14,P,Part;P
O,I,pourrait,1,604,995,ABCDEE+Arial,#000,434,471,249,262,14,P,Part;P
O,I,être,1,604,995,ABCDEE+Arial,#000,474,493,249,262,14,P,Part;P
O,I,relevée,1,604,995,ABCDEE+Arial,#000,88,124,262,274,14,P,Part;P
O,I,dans,1,604,995,ABCDEE+Arial,#000,127,151,262,274,14,P,Part;P
O,I,le,1,604,995,ABCDEE+Arial,#000,154,162,262,274,14,P,Part;P
O,I,texte,1,604,995,ABCDEE+Arial,#000,165,189,262,274,14,P,Part;P
O,I,ci-après,1,604,995,ABCDEE+Arial,#000,192,232,262,274,14,P,Part;P
O,I,n'a,1,604,995,ABCDEE+Arial,#000,235,249,262,274,14,P,Part;P
O,I,pas,1,604,995,ABCDEE+Arial,#000,252,270,262,274,14,P,Part;P
O,I,pour,1,604,995,ABCDEE+Arial,#000,273,295,262,274,14,P,Part;P
O,I,effet,1,604,995,ABCDEE+Arial,#000,298,319,262,274,14,P,Part;P
O,I,de,1,604,995,ABCDEE+Arial,#000,322,334,262,274,14,P,Part;P
O,I,diminuer,1,604,995,ABCDEE+Arial,#000,337,380,262,274,14,P,Part;P
