sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
B-Titre,B-Pied,Règlement,1,612,1008,BCDEEE+Cambria,#000,64,101,960,969,,Artifact,
I-Titre,I,1306,1,612,1008,BCDEEE+Cambria,#000,102,120,960,969,,Artifact,
I-Titre,I,concernant,1,612,1008,BCDEEE+Cambria,#000,122,160,960,969,,Artifact,
I-Titre,I,la,1,612,1008,BCDFEE+Cambria,#000,162,168,960,969,,Artifact,
I-Titre,I,protection,1,612,1008,BCDFEE+Cambria,#000,170,206,960,969,,Artifact,
I-Titre,I,et,1,612,1008,BCDFEE+Cambria,#000,207,214,960,969,,Artifact,
I-Titre,I,l’accès,1,612,1008,BCDFEE+Cambria,#000,216,238,960,969,,Artifact,
I-Titre,I,aux,1,612,1008,BCDFEE+Cambria,#000,240,252,960,969,,Artifact,
I-Titre,I,plans,1,612,1008,BCDFEE+Cambria,#000,254,272,960,969,,Artifact,
I-Titre,I,d’eau,1,612,1008,BCDFEE+Cambria,#000,274,292,960,969,,Artifact,
I-Titre,I,du,1,612,1008,BCDFEE+Cambria,#000,294,303,960,969,,Artifact,
I-Titre,I,territoire,1,612,1008,BCDFEE+Cambria,#000,305,336,960,969,,Artifact,
I-Titre,I,de,1,612,1008,BCDFEE+Cambria,#000,338,347,960,969,,Artifact,
I-Titre,I,la,1,612,1008,BCDFEE+Cambria,#000,348,354,960,969,,Artifact,
I-Titre,I,Ville,1,612,1008,BCDFEE+Cambria,#000,356,372,960,969,,Artifact,
I-Titre,I,de,1,612,1008,BCDEEE+Cambria,#000,373,382,960,969,,Artifact,
I-Titre,I,Sainte-Adèle–,1,612,1008,BCDEEE+Cambria,#000,384,431,960,969,,Artifact,
O,I,21,1,612,1008,BCDEEE+Cambria,#000,433,441,960,969,,Artifact,
O,I,juin,1,612,1008,BCDEEE+Cambria,#000,443,456,960,969,,Artifact,
O,I,2021,1,612,1008,BCDEEE+Cambria,#000,458,476,960,969,,Artifact,
O,I,(Adoption)Page,1,612,1008,BCDEEE+Cambria,#000,478,532,960,969,,Artifact,
O,I,1,1,612,1008,BCDEEE+Cambria,#000,534,538,960,969,,Artifact,
B-Titre,B-Titre,RÈGLEMENT,1,612,1008,Arial-BoldMT,#000,316,402,114,129,3,P,Document;Table;TBody;TR;TD;P
I-Titre,I,1306,1,612,1008,Arial-BoldMT,#000,406,436,114,129,3,P,Document;Table;TBody;TR;TD;P
I-Titre,B-Alinea,Concernant,1,612,1008,ArialMT,#000,234,291,142,154,5,P,Document;Table;TBody;TR;TD;P
I-Titre,I,la,1,612,1008,ArialMT,#000,296,304,142,154,5,P,Document;Table;TBody;TR;TD;P
I-Titre,I,protection,1,612,1008,ArialMT,#000,310,358,142,154,5,P,Document;Table;TBody;TR;TD;P
I-Titre,I,et,1,612,1008,ArialMT,#000,363,373,142,154,5,P,Document;Table;TBody;TR;TD;P
I-Titre,I,l’accès,1,612,1008,ArialMT,#000,378,412,142,154,5,P,Document;Table;TBody;TR;TD;P
I-Titre,I,aux,1,612,1008,ArialMT,#000,417,435,142,154,5,P,Document;Table;TBody;TR;TD;P
I-Titre,I,plans,1,612,1008,ArialMT,#000,440,466,142,154,5,P,Document;Table;TBody;TR;TD;P
I-Titre,I,d’eau,1,612,1008,ArialMT,#000,472,498,142,154,5,P,Document;Table;TBody;TR;TD;P
I-Titre,I,du,1,612,1008,ArialMT,#000,504,516,142,154,5,P,Document;Table;TBody;TR;TD;P
I-Titre,I,territoire,1,612,1008,ArialMT,#000,232,273,155,167,5,P,Document;Table;TBody;TR;TD;P
I-Titre,I,de,1,612,1008,ArialMT,#000,276,288,155,167,5,P,Document;Table;TBody;TR;TD;P
I-Titre,I,la,1,612,1008,ArialMT,#000,291,300,155,167,5,P,Document;Table;TBody;TR;TD;P
I-Titre,I,Ville,1,612,1008,ArialMT,#000,303,323,155,167,5,P,Document;Table;TBody;TR;TD;P
I-Titre,I,de,1,612,1008,ArialMT,#000,327,339,155,167,5,P,Document;Table;TBody;TR;TD;P
I-Titre,I,Sainte-Adèle,1,612,1008,ArialMT,#000,342,405,155,167,5,P,Document;Table;TBody;TR;TD;P
O,B-Alinea,Séance,1,612,1008,ArialMT,#000,106,144,193,206,8,P,Document;P
O,I,ordinaire,1,612,1008,ArialMT,#000,148,191,193,206,8,P,Document;P
O,I,du,1,612,1008,ArialMT,#000,196,208,193,206,8,P,Document;P
O,I,conseil,1,612,1008,ArialMT,#000,212,247,193,206,8,P,Document;P
O,I,"municipal,",1,612,1008,ArialMT,#000,251,301,193,206,8,P,Document;P
O,I,tenue,1,612,1008,ArialMT,#000,305,333,193,206,8,P,Document;P
O,I,exclusivement,1,612,1008,ArialMT,#000,337,407,193,206,8,P,Document;P
O,I,par,1,612,1008,ArialMT,#000,412,427,193,206,8,P,Document;P
O,I,vidéoconférence,1,612,1008,ArialMT,#000,432,513,193,206,8,P,Document;P
O,I,le,1,612,1008,ArialMT,#000,517,526,193,206,8,P,Document;P
O,I,21,1,612,1008,ArialMT,#000,106,119,206,218,8,P,Document;P
O,I,juin,1,612,1008,ArialMT,#000,122,139,206,218,8,P,Document;P
O,I,2021,1,612,1008,ArialMT,#000,143,167,206,218,8,P,Document;P
O,I,à,1,612,1008,ArialMT,#000,170,177,206,218,8,P,Document;P
O,I,"19h,",1,612,1008,ArialMT,#000,180,201,206,218,8,P,Document;P
O,I,à,1,612,1008,ArialMT,#000,205,211,206,218,8,P,Document;P
O,I,laquelle,1,612,1008,ArialMT,#000,214,252,206,218,8,P,Document;P
O,I,sont,1,612,1008,ArialMT,#000,255,276,206,218,8,P,Document;P
O,I,présents,1,612,1008,ArialMT,#000,279,322,206,218,8,P,Document;P
O,I,les,1,612,1008,ArialMT,#000,325,339,206,218,8,P,Document;P
O,I,membres,1,612,1008,ArialMT,#000,342,388,206,218,8,P,Document;P
O,I,du,1,612,1008,ArialMT,#000,392,404,206,218,8,P,Document;P
O,I,conseil,1,612,1008,ArialMT,#000,407,441,206,218,8,P,Document;P
O,I,suivants,1,612,1008,ArialMT,#000,445,485,206,218,8,P,Document;P
O,I,formant,1,612,1008,ArialMT,#000,488,526,206,218,8,P,Document;P
O,I,le,1,612,1008,ArialMT,#000,106,115,219,231,8,P,Document;P
O,I,quorum,1,612,1008,ArialMT,#000,118,155,219,231,8,P,Document;P
O,I,:,1,612,1008,ArialMT,#000,159,162,219,231,8,P,Document;P
O,B-Liste,Monsieur,1,612,1008,ArialMT,#000,106,152,244,256,10,Span,Document;P
O,I,Pierre,1,612,1008,ArialMT,#000,155,184,244,256,10,Span,Document;P
O,I,Lafond,1,612,1008,ArialMT,#000,187,221,244,256,10,Span,Document;P
O,I,Conseiller,1,612,1008,ArialMT,#000,276,325,244,256,10,Span,Document;P
O,I,du,1,612,1008,ArialMT,#000,328,341,244,256,10,Span,Document;P
O,I,district,1,612,1008,ArialMT,#000,344,375,244,256,10,Span,Document;P
O,I,1,1,612,1008,ArialMT,#000,378,385,244,256,10,Span,Document;P
O,B-Liste,Monsieur,1,612,1008,ArialMT,#000,106,152,257,269,11,Span,Document;P
O,I,Roch,1,612,1008,ArialMT,#000,155,181,257,269,11,Span,Document;P
O,I,Bédard,1,612,1008,ArialMT,#000,184,219,257,269,11,Span,Document;P
O,I,Conseiller,1,612,1008,ArialMT,#000,276,325,257,269,11,Span,Document;P
O,I,du,1,612,1008,ArialMT,#000,328,341,257,269,11,Span,Document;P
O,I,district,1,612,1008,ArialMT,#000,344,375,257,269,11,Span,Document;P
O,I,2,1,612,1008,ArialMT,#000,378,385,257,269,11,Span,Document;P
O,B-Liste,Monsieur,1,612,1008,ArialMT,#000,106,152,269,281,12,Span,Document;P
O,I,Martin,1,612,1008,ArialMT,#000,155,185,269,281,12,Span,Document;P
O,I,Jolicoeur,1,612,1008,ArialMT,#000,188,232,269,281,12,Span,Document;P
O,I,Conseiller,1,612,1008,ArialMT,#000,276,325,269,281,12,Span,Document;P
O,I,du,1,612,1008,ArialMT,#000,328,341,269,281,12,Span,Document;P
O,I,district,1,612,1008,ArialMT,#000,344,375,269,281,12,Span,Document;P
O,I,4,1,612,1008,ArialMT,#000,378,385,269,281,12,Span,Document;P
O,B-Liste,Madame,1,612,1008,ArialMT,#000,106,149,282,294,13,Span,Document;P
O,I,Frédérike,1,612,1008,ArialMT,#000,152,199,282,294,13,Span,Document;P
O,I,Cavezzali,1,612,1008,ArialMT,#000,202,250,282,294,13,Span,Document;P
O,I,Conseillère,1,612,1008,ArialMT,#000,276,331,282,294,13,Span,Document;P
O,I,du,1,612,1008,ArialMT,#000,334,347,282,294,13,Span,Document;P
O,I,district,1,612,1008,ArialMT,#000,350,381,282,294,13,Span,Document;P
O,I,5,1,612,1008,ArialMT,#000,385,391,282,294,13,Span,Document;P
O,B-Liste,Monsieur,1,612,1008,ArialMT,#000,106,152,307,320,15,P,Document;P
O,I,le,1,612,1008,ArialMT,#000,155,163,307,320,15,P,Document;P
O,I,conseiller,1,612,1008,ArialMT,#000,166,213,307,320,15,P,Document;P
O,I,Robert,1,612,1008,ArialMT,#000,216,249,307,320,15,P,Document;P
O,I,Bélisle,1,612,1008,ArialMT,#000,252,284,307,320,15,P,Document;P
O,I,est,1,612,1008,ArialMT,#000,287,302,307,320,15,P,Document;P
O,I,absent,1,612,1008,ArialMT,#000,305,338,307,320,15,P,Document;P
O,I,pour,1,612,1008,ArialMT,#000,341,363,307,320,15,P,Document;P
O,I,toute,1,612,1008,ArialMT,#000,366,391,307,320,15,P,Document;P
O,I,la,1,612,1008,ArialMT,#000,394,402,307,320,15,P,Document;P
O,I,durée,1,612,1008,ArialMT,#000,405,434,307,320,15,P,Document;P
O,I,de,1,612,1008,ArialMT,#000,437,449,307,320,15,P,Document;P
O,I,la,1,612,1008,ArialMT,#000,452,461,307,320,15,P,Document;P
O,I,séance.,1,612,1008,ArialMT,#000,463,502,307,320,15,P,Document;P
O,B-Alinea,Sous,1,612,1008,ArialMT,#000,106,132,332,345,17,P,Document;P
O,I,la,1,612,1008,ArialMT,#000,135,143,332,345,17,P,Document;P
O,I,présidence,1,612,1008,ArialMT,#000,146,200,332,345,17,P,Document;P
O,I,de,1,612,1008,ArialMT,#000,203,215,332,345,17,P,Document;P
O,I,madame,1,612,1008,ArialMT,#000,218,261,332,345,17,P,Document;P
O,I,la,1,612,1008,ArialMT,#000,264,273,332,345,17,P,Document;P
O,I,mairesse,1,612,1008,ArialMT,#000,276,321,332,345,17,P,Document;P
O,I,Nadine,1,612,1008,ArialMT,#000,324,358,332,345,17,P,Document;P
O,I,Brière.,1,612,1008,ArialMT,#000,361,394,332,345,17,P,Document;P
O,B-Alinea,ATTENDU,1,612,1008,ArialMT,#000,106,158,358,370,19,P,Document;P
O,I,QUE,1,612,1008,ArialMT,#000,161,185,358,370,19,P,Document;P
O,I,monsieur,1,612,1008,ArialMT,#000,188,234,358,370,19,P,Document;P
O,I,le,1,612,1008,ArialMT,#000,237,245,358,370,19,P,Document;P
