sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
B-Titre,B-Pied,Règlement,1,612,1008,BCDEEE+Cambria,#000,106,143,954,963,,Artifact,
I-Titre,I,1310,1,612,1008,BCDEEE+Cambria,#000,145,163,954,963,,Artifact,
I-Titre,I,–,1,612,1008,BCDFEE+Cambria,#000,164,168,954,963,,Artifact,
I-Titre,I,Identification,1,612,1008,BCDEEE+Cambria,#000,170,216,954,963,,Artifact,
I-Titre,I,du,1,612,1008,BCDEEE+Cambria,#000,218,227,954,963,,Artifact,
I-Titre,I,circuit,1,612,1008,BCDEEE+Cambria,#000,229,251,954,963,,Artifact,
I-Titre,I,de,1,612,1008,BCDEEE+Cambria,#000,252,261,954,963,,Artifact,
I-Titre,I,ski,1,612,1008,BCDEEE+Cambria,#000,262,272,954,963,,Artifact,
I-Titre,I,de,1,612,1008,BCDEEE+Cambria,#000,274,282,954,963,,Artifact,
I-Titre,I,fond,1,612,1008,BCDEEE+Cambria,#000,284,300,954,963,,Artifact,
I-Titre,I,«,1,612,1008,BCDEEE+Cambria,#000,301,305,954,963,,Artifact,
I-Titre,I,Maple,1,612,1008,BCDEEE+Cambria,#000,307,328,954,963,,Artifact,
I-Titre,I,Leaf,1,612,1008,BCDEEE+Cambria,#000,330,344,954,963,,Artifact,
I-Titre,I,»,1,612,1008,BCDEEE+Cambria,#000,346,350,954,963,,Artifact,
I-Titre,I,comme,1,612,1008,BCDEEE+Cambria,#000,352,377,954,963,,Artifact,
I-Titre,I,lieu,1,612,1008,BCDEEE+Cambria,#000,379,391,954,963,,Artifact,
I-Titre,I,historique,1,612,1008,BCDEEE+Cambria,#000,393,428,954,963,,Artifact,
O,I,–,1,612,1008,BCDFEE+Cambria,#000,430,434,954,963,,Artifact,
O,I,17,1,612,1008,BCDEEE+Cambria,#000,436,445,954,963,,Artifact,
O,I,mai,1,612,1008,BCDEEE+Cambria,#000,446,459,954,963,,Artifact,
O,I,2021,1,612,1008,BCDEEE+Cambria,#000,461,479,954,963,,Artifact,
O,I,(Adoption),1,612,1008,BCDEEE+Cambria,#000,106,144,963,972,,Artifact,
O,I,Page,1,612,1008,BCDEEE+Cambria,#000,495,512,963,972,,Artifact,
O,I,1,1,612,1008,BCDGEE+Calibri,#000,513,518,965,973,,Artifact,
O,B-Titre,RÈGLEMENT,1,612,1008,Arial-BoldMT,#000,261,329,106,118,3,Span,Document;Table;TBody;TR;TH;P
O,I,NUMÉRO,1,612,1008,Arial-BoldMT,#000,332,380,106,118,3,Span,Document;Table;TBody;TR;TH;P
B-Numero,I,1310,1,612,1008,Arial-BoldMT,#000,383,407,106,118,3,Span,Document;Table;TBody;TR;TH;P
O,B-Alinea,décrétant,1,612,1008,BOWBWB+Arial,#000,215,261,131,146,5,Span,Document;Table;TBody;TR;TH;P;Span
O,I,l’identification,1,612,1008,BOWBWB+Arial,#000,264,330,131,146,7,Span,Document;Table;TBody;TR;TH;P;Span
O,I,du,1,612,1008,BOWBWB+Arial,#000,333,345,131,146,9,Span,Document;Table;TBody;TR;TH;P;Span
O,I,circuit,1,612,1008,BOWBWB+Arial,#000,348,377,131,146,11,Span,Document;Table;TBody;TR;TH;P;Span
O,I,de,1,612,1008,BOWBWB+Arial,#000,380,392,131,146,13,Span,Document;Table;TBody;TR;TH;P;Span
O,I,ski,1,612,1008,BOWBWB+Arial,#000,396,409,131,146,15,Span,Document;Table;TBody;TR;TH;P;Span
O,I,de,1,612,1008,BOWBWB+Arial,#000,412,424,131,146,17,Span,Document;Table;TBody;TR;TH;P;Span
O,I,fond,1,612,1008,BOWBWB+Arial,#000,427,449,131,146,19,Span,Document;Table;TBody;TR;TH;P;Span
O,I,«,1,612,1008,BOWBWB+Arial,#000,240,247,144,159,21,Span,Document;Table;TBody;TR;TH;P;Span
O,I,Maple,1,612,1008,BOWBWB+Arial,#000,250,280,144,159,23,Span,Document;Table;TBody;TR;TH;P;Span
O,I,Leaf,1,612,1008,BOWBWB+Arial,#000,283,304,144,159,25,Span,Document;Table;TBody;TR;TH;P;Span
O,I,»,1,612,1008,BOWBWB+Arial,#000,307,313,144,159,27,Span,Document;Table;TBody;TR;TH;P;Span
O,I,comme,1,612,1008,BOWBWB+Arial,#000,316,352,144,159,29,Span,Document;Table;TBody;TR;TH;P;Span
O,I,lieu,1,612,1008,BOWBWB+Arial,#000,356,373,144,159,31,Span,Document;Table;TBody;TR;TH;P;Span
O,I,historique,1,612,1008,BOWBWB+Arial,#000,376,423,144,159,33,Span,Document;Table;TBody;TR;TH;P;Span
O,B-Alinea,Séance,1,612,1008,BOWBWB+Arial,#000,106,144,201,216,38,Span,Document;P
O,I,ordinaire,1,612,1008,BOWBWB+Arial,#000,148,190,201,216,38,Span,Document;P
O,I,du,1,612,1008,BOWBWB+Arial,#000,194,206,201,216,38,Span,Document;P
O,I,conseil,1,612,1008,BOWBWB+Arial,#000,210,244,201,216,38,Span,Document;P
O,I,"municipal,",1,612,1008,BOWBWB+Arial,#000,248,297,201,216,38,Span,Document;P
O,I,tenue,1,612,1008,BOWBWB+Arial,#000,301,328,201,216,38,Span,Document;P
O,I,exclusivement,1,612,1008,BOWBWB+Arial,#000,332,402,201,216,38,Span,Document;P
O,I,par,1,612,1008,BOWBWB+Arial,#000,405,421,201,216,38,Span,Document;P
O,I,vidéoconférence,1,612,1008,BOWBWB+Arial,#000,425,505,201,216,38,Span,Document;P
O,I,le,1,612,1008,BOWBWB+Arial,#000,509,518,201,216,38,Span,Document;P
O,I,17,1,612,1008,BOWBWB+Arial,#000,106,119,214,229,38,Span,Document;P
O,I,mai,1,612,1008,BOWBWB+Arial,#000,121,139,214,229,38,Span,Document;P
O,I,2021,1,612,1008,BOWBWB+Arial,#000,142,166,214,229,38,Span,Document;P
O,I,à,1,612,1008,BOWBWB+Arial,#000,169,175,214,229,38,Span,Document;P
O,I,"19h,",1,612,1008,BOWBWB+Arial,#000,178,199,214,229,38,Span,Document;P
O,I,à,1,612,1008,BOWBWB+Arial,#000,202,208,214,229,38,Span,Document;P
O,I,laquelle,1,612,1008,BOWBWB+Arial,#000,211,249,214,229,38,Span,Document;P
O,I,sont,1,612,1008,BOWBWB+Arial,#000,251,272,214,229,38,Span,Document;P
O,I,présents,1,612,1008,BOWBWB+Arial,#000,275,317,214,229,38,Span,Document;P
O,I,les,1,612,1008,BOWBWB+Arial,#000,320,334,214,229,38,Span,Document;P
O,I,membres,1,612,1008,BOWBWB+Arial,#000,337,383,214,229,38,Span,Document;P
O,I,du,1,612,1008,BOWBWB+Arial,#000,385,398,214,229,38,Span,Document;P
O,I,conseil,1,612,1008,BOWBWB+Arial,#000,400,434,214,229,38,Span,Document;P
O,I,suivants,1,612,1008,BOWBWB+Arial,#000,437,478,214,229,38,Span,Document;P
O,I,formant,1,612,1008,BOWBWB+Arial,#000,480,518,214,229,38,Span,Document;P
O,I,le,1,612,1008,BOWBWB+Arial,#000,106,115,226,241,38,Span,Document;P
O,I,quorum,1,612,1008,BOWBWB+Arial,#000,118,155,226,241,38,Span,Document;P
O,I,:,1,612,1008,BOWBWB+Arial,#000,159,162,226,241,38,Span,Document;P
O,B-Liste,Monsieur,1,612,1008,BOWBWB+Arial,#000,106,152,252,267,40,Span,Document;P
O,I,Pierre,1,612,1008,BOWBWB+Arial,#000,155,184,252,267,40,Span,Document;P
O,I,Lafond,1,612,1008,BOWBWB+Arial,#000,187,221,252,267,40,Span,Document;P
O,I,Conseiller,1,612,1008,BOWBWB+Arial,#000,276,325,252,267,40,Span,Document;P
O,I,du,1,612,1008,BOWBWB+Arial,#000,328,341,252,267,40,Span,Document;P
O,I,district,1,612,1008,BOWBWB+Arial,#000,344,375,252,267,40,Span,Document;P
