sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
B-Titre,B-Pied,Règlement,1,612,1008,BCDEEE+Cambria,#000,106,143,950,960,,Artifact,
I-Titre,I,1311,1,612,1008,BCDEEE+Cambria,#000,145,163,950,960,,Artifact,
I-Titre,I,–,1,612,1008,BCDFEE+Cambria,#000,164,168,950,960,,Artifact,
I-Titre,I,Identification,1,612,1008,BCDEEE+Cambria,#000,170,216,950,960,,Artifact,
I-Titre,I,du,1,612,1008,BCDEEE+Cambria,#000,218,227,950,960,,Artifact,
I-Titre,I,circuit,1,612,1008,BCDEEE+Cambria,#000,228,250,950,960,,Artifact,
I-Titre,I,de,1,612,1008,BCDEEE+Cambria,#000,252,261,950,960,,Artifact,
I-Titre,I,ski,1,612,1008,BCDEEE+Cambria,#000,262,272,950,960,,Artifact,
I-Titre,I,de,1,612,1008,BCDEEE+Cambria,#000,274,282,950,960,,Artifact,
I-Titre,I,fond,1,612,1008,BCDEEE+Cambria,#000,284,300,950,960,,Artifact,
I-Titre,I,«,1,612,1008,BCDEEE+Cambria,#000,301,305,950,960,,Artifact,
I-Titre,I,Oxford-Cambridge,1,612,1008,BCDEEE+Cambria,#000,307,371,950,960,,Artifact,
I-Titre,I,»,1,612,1008,BCDEEE+Cambria,#000,372,376,950,960,,Artifact,
I-Titre,I,comme,1,612,1008,BCDEEE+Cambria,#000,378,403,950,960,,Artifact,
I-Titre,I,lieu,1,612,1008,BCDEEE+Cambria,#000,405,417,950,960,,Artifact,
I-Titre,I,historique,1,612,1008,BCDEEE+Cambria,#000,419,454,950,960,,Artifact,
O,I,–,1,612,1008,BCDFEE+Cambria,#000,456,460,950,960,,Artifact,
O,I,17,1,612,1008,BCDEEE+Cambria,#000,462,471,950,960,,Artifact,
O,I,mai,1,612,1008,BCDEEE+Cambria,#000,473,485,950,960,,Artifact,
O,I,2021,1,612,1008,BCDEEE+Cambria,#000,487,505,950,960,,Artifact,
O,I,(Adoption),1,612,1008,BCDEEE+Cambria,#000,106,144,960,969,,Artifact,
O,I,Page,1,612,1008,BCDEEE+Cambria,#000,495,512,960,969,,Artifact,
O,I,1,1,612,1008,BCDGEE+Calibri,#000,513,518,961,969,,Artifact,
O,B-Titre,RÈGLEMENT,1,612,1008,Arial-BoldMT,#000,294,361,80,93,1,P,Document;Table;TBody;TR;TD;P
O,I,NUMÉRO,1,612,1008,Arial-BoldMT,#000,364,412,80,93,1,P,Document;Table;TBody;TR;TD;P
B-Numero,I,1311,1,612,1008,Arial-BoldMT,#000,415,439,80,93,1,P,Document;Table;TBody;TR;TD;P
O,B-Alinea,décrétant,1,612,1008,HAIJFP+Arial,#000,247,293,105,120,3,P,Document;Table;TBody;TR;TD;P
O,I,l’identification,1,612,1008,HAIJFP+Arial,#000,297,363,105,120,3,P,Document;Table;TBody;TR;TD;P
O,I,du,1,612,1008,HAIJFP+Arial,#000,366,378,105,120,3,P,Document;Table;TBody;TR;TD;P
O,I,circuit,1,612,1008,HAIJFP+Arial,#000,381,410,105,120,3,P,Document;Table;TBody;TR;TD;P
O,I,de,1,612,1008,HAIJFP+Arial,#000,413,425,105,120,3,P,Document;Table;TBody;TR;TD;P
O,I,ski,1,612,1008,HAIJFP+Arial,#000,428,441,105,120,3,P,Document;Table;TBody;TR;TD;P
O,I,de,1,612,1008,HAIJFP+Arial,#000,444,457,105,120,3,P,Document;Table;TBody;TR;TD;P
O,I,fond,1,612,1008,HAIJFP+Arial,#000,460,481,105,120,3,P,Document;Table;TBody;TR;TD;P
O,B-Alinea,«,1,612,1008,HAIJFP+Arial,#000,255,261,118,133,3,P,Document;Table;TBody;TR;TD;P
O,I,Oxford-Cambridge,1,612,1008,HAIJFP+Arial,#000,264,355,118,133,3,P,Document;Table;TBody;TR;TD;P
O,I,»,1,612,1008,HAIJFP+Arial,#000,358,364,118,133,3,P,Document;Table;TBody;TR;TD;P
O,I,comme,1,612,1008,HAIJFP+Arial,#000,367,403,118,133,3,P,Document;Table;TBody;TR;TD;P
O,I,lieu,1,612,1008,HAIJFP+Arial,#000,406,423,118,133,3,P,Document;Table;TBody;TR;TD;P
O,I,historique,1,612,1008,HAIJFP+Arial,#000,426,474,118,133,3,P,Document;Table;TBody;TR;TD;P
O,B-Alinea,Séance,1,612,1008,HAIJFP+Arial,#000,106,144,169,184,7,P,Document;P
O,I,ordinaire,1,612,1008,HAIJFP+Arial,#000,148,190,169,184,7,P,Document;P
O,I,du,1,612,1008,HAIJFP+Arial,#000,194,206,169,184,7,P,Document;P
O,I,conseil,1,612,1008,HAIJFP+Arial,#000,210,244,169,184,7,P,Document;P
O,I,"municipal,",1,612,1008,HAIJFP+Arial,#000,248,297,169,184,7,P,Document;P
O,I,tenue,1,612,1008,HAIJFP+Arial,#000,301,328,169,184,7,P,Document;P
O,I,exclusivement,1,612,1008,HAIJFP+Arial,#000,332,402,169,184,7,P,Document;P
O,I,par,1,612,1008,HAIJFP+Arial,#000,405,421,169,184,7,P,Document;P
O,I,vidéoconférence,1,612,1008,HAIJFP+Arial,#000,425,505,169,184,7,P,Document;P
O,I,le,1,612,1008,HAIJFP+Arial,#000,509,518,169,184,7,P,Document;P
O,I,17,1,612,1008,HAIJFP+Arial,#000,106,119,182,197,7,P,Document;P
O,I,mai,1,612,1008,HAIJFP+Arial,#000,121,139,182,197,7,P,Document;P
O,I,2021,1,612,1008,HAIJFP+Arial,#000,142,166,182,197,7,P,Document;P
O,I,à,1,612,1008,HAIJFP+Arial,#000,169,175,182,197,7,P,Document;P
O,I,"19h,",1,612,1008,HAIJFP+Arial,#000,178,199,182,197,7,P,Document;P
O,I,à,1,612,1008,HAIJFP+Arial,#000,202,208,182,197,7,P,Document;P
O,I,laquelle,1,612,1008,HAIJFP+Arial,#000,211,249,182,197,7,P,Document;P
O,I,sont,1,612,1008,HAIJFP+Arial,#000,251,272,182,197,7,P,Document;P
O,I,présents,1,612,1008,HAIJFP+Arial,#000,275,317,182,197,7,P,Document;P
O,I,les,1,612,1008,HAIJFP+Arial,#000,320,334,182,197,7,P,Document;P
O,I,membres,1,612,1008,HAIJFP+Arial,#000,337,383,182,197,7,P,Document;P
O,I,du,1,612,1008,HAIJFP+Arial,#000,385,398,182,197,7,P,Document;P
O,I,conseil,1,612,1008,HAIJFP+Arial,#000,400,434,182,197,7,P,Document;P
O,I,suivants,1,612,1008,HAIJFP+Arial,#000,437,478,182,197,7,P,Document;P
O,I,formant,1,612,1008,HAIJFP+Arial,#000,480,518,182,197,7,P,Document;P
O,I,le,1,612,1008,HAIJFP+Arial,#000,106,115,194,210,7,P,Document;P
O,I,quorum,1,612,1008,HAIJFP+Arial,#000,118,155,194,210,7,P,Document;P
O,I,:,1,612,1008,HAIJFP+Arial,#000,159,162,194,210,7,P,Document;P
O,B-Liste,Monsieur,1,612,1008,HAIJFP+Arial,#000,106,152,220,235,9,P,Document;P
O,I,Pierre,1,612,1008,HAIJFP+Arial,#000,155,184,220,235,9,P,Document;P
O,I,Lafond,1,612,1008,HAIJFP+Arial,#000,187,221,220,235,9,P,Document;P
O,I,Conseiller,1,612,1008,HAIJFP+Arial,#000,276,325,220,235,9,P,Document;P
O,I,du,1,612,1008,HAIJFP+Arial,#000,328,341,220,235,9,P,Document;P
O,I,district,1,612,1008,HAIJFP+Arial,#000,344,375,220,235,9,P,Document;P
O,I,1,1,612,1008,HAIJFP+Arial,#000,378,385,220,235,9,P,Document;P
O,B-Liste,Monsieur,1,612,1008,HAIJFP+Arial,#000,106,152,232,247,10,P,Document;P
O,I,Roch,1,612,1008,HAIJFP+Arial,#000,155,181,232,247,10,P,Document;P
O,I,Bédard,1,612,1008,HAIJFP+Arial,#000,184,219,232,247,10,P,Document;P
O,I,Conseiller,1,612,1008,HAIJFP+Arial,#000,276,325,232,247,10,P,Document;P
O,I,du,1,612,1008,HAIJFP+Arial,#000,328,341,232,247,10,P,Document;P
O,I,district,1,612,1008,HAIJFP+Arial,#000,344,375,232,247,10,P,Document;P
O,I,2,1,612,1008,HAIJFP+Arial,#000,378,385,232,247,10,P,Document;P
O,B-Liste,Monsieur,1,612,1008,HAIJFP+Arial,#000,106,152,245,260,11,P,Document;P
O,I,Martin,1,612,1008,HAIJFP+Arial,#000,155,185,245,260,11,P,Document;P
O,I,Jolicoeur,1,612,1008,HAIJFP+Arial,#000,188,232,245,260,11,P,Document;P
O,I,Conseiller,1,612,1008,HAIJFP+Arial,#000,276,325,245,260,11,P,Document;P
O,I,du,1,612,1008,HAIJFP+Arial,#000,328,341,245,260,11,P,Document;P
O,I,district,1,612,1008,HAIJFP+Arial,#000,344,375,245,260,11,P,Document;P
O,I,4,1,612,1008,HAIJFP+Arial,#000,378,385,245,260,11,P,Document;P
O,B-Liste,Madame,1,612,1008,HAIJFP+Arial,#000,106,149,258,273,12,P,Document;P
O,I,Frédérike,1,612,1008,HAIJFP+Arial,#000,152,199,258,273,12,P,Document;P
O,I,Cavezzali,1,612,1008,HAIJFP+Arial,#000,202,250,258,273,12,P,Document;P
O,I,Conseillère,1,612,1008,HAIJFP+Arial,#000,276,331,258,273,12,P,Document;P
O,I,du,1,612,1008,HAIJFP+Arial,#000,334,347,258,273,12,P,Document;P
O,I,district,1,612,1008,HAIJFP+Arial,#000,350,381,258,273,12,P,Document;P
O,I,5,1,612,1008,HAIJFP+Arial,#000,385,391,258,273,12,P,Document;P
O,B-Alinea,Monsieur,1,612,1008,HAIJFP+Arial,#000,106,152,283,298,14,P,Document;P
O,I,le,1,612,1008,HAIJFP+Arial,#000,155,163,283,298,14,P,Document;P
O,I,conseiller,1,612,1008,HAIJFP+Arial,#000,166,213,283,298,14,P,Document;P
O,I,Robert,1,612,1008,HAIJFP+Arial,#000,216,249,283,298,14,P,Document;P
O,I,Bélisle,1,612,1008,HAIJFP+Arial,#000,252,284,283,298,14,P,Document;P
O,I,est,1,612,1008,HAIJFP+Arial,#000,287,302,283,298,14,P,Document;P
O,I,absent,1,612,1008,HAIJFP+Arial,#000,305,338,283,298,14,P,Document;P
O,I,pour,1,612,1008,HAIJFP+Arial,#000,341,363,283,298,14,P,Document;P
O,I,toute,1,612,1008,HAIJFP+Arial,#000,366,391,283,298,14,P,Document;P
O,I,la,1,612,1008,HAIJFP+Arial,#000,394,402,283,298,14,P,Document;P
O,I,durée,1,612,1008,HAIJFP+Arial,#000,405,434,283,298,14,P,Document;P
O,I,de,1,612,1008,HAIJFP+Arial,#000,437,449,283,298,14,P,Document;P
O,I,la,1,612,1008,HAIJFP+Arial,#000,452,460,283,298,14,P,Document;P
O,I,séance.,1,612,1008,HAIJFP+Arial,#000,463,502,283,298,14,P,Document;P
O,B-Alinea,Sous,1,612,1008,HAIJFP+Arial,#000,106,132,308,323,16,P,Document;P
O,I,la,1,612,1008,HAIJFP+Arial,#000,135,143,308,323,16,P,Document;P
O,I,présidence,1,612,1008,HAIJFP+Arial,#000,146,200,308,323,16,P,Document;P
O,I,de,1,612,1008,HAIJFP+Arial,#000,203,215,308,323,16,P,Document;P
O,I,madame,1,612,1008,HAIJFP+Arial,#000,218,261,308,323,16,P,Document;P
O,I,la,1,612,1008,HAIJFP+Arial,#000,264,273,308,323,16,P,Document;P
O,I,mairesse,1,612,1008,HAIJFP+Arial,#000,276,321,308,323,16,P,Document;P
O,I,Nadine,1,612,1008,HAIJFP+Arial,#000,324,358,308,323,16,P,Document;P
O,I,Brière.,1,612,1008,HAIJFP+Arial,#000,361,394,308,323,16,P,Document;P
O,B-Alinea,ATTENDU,1,612,1008,HAIJFP+Arial,#000,106,158,334,349,18,P,Document;P
O,I,QU’il,1,612,1008,HAIJFP+Arial,#000,162,186,334,349,18,P,Document;P
O,I,y,1,612,1008,HAIJFP+Arial,#000,189,195,334,349,18,P,Document;P
O,I,a,1,612,1008,HAIJFP+Arial,#000,198,204,334,349,18,P,Document;P
O,I,lieu,1,612,1008,HAIJFP+Arial,#000,208,225,334,349,18,P,Document;P
O,I,de,1,612,1008,HAIJFP+Arial,#000,228,240,334,349,18,P,Document;P
O,I,reconnaître,1,612,1008,HAIJFP+Arial,#000,244,299,334,349,18,P,Document;P
O,I,la,1,612,1008,HAIJFP+Arial,#000,303,311,334,349,18,P,Document;P
O,I,contribution,1,612,1008,HAIJFP+Arial,#000,315,371,334,349,18,P,Document;P
O,I,significative,1,612,1008,HAIJFP+Arial,#000,375,432,334,349,18,P,Document;P
O,I,d’un,1,612,1008,HAIJFP+Arial,#000,435,456,334,349,18,P,Document;P
