sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
B-Titre,B-Titre,Règlement,1,612,1008,BCDFEE+Lato,#555,85,203,528,559,4,P,Document;P;Span
I-Titre,I,de,1,612,1008,BCDFEE+Lato,#555,208,236,528,559,4,P,Document;P;Span
I-Titre,I,lotissement,1,612,1008,BCDFEE+Lato,#555,242,368,528,559,4,P,Document;P;Span
I-Titre,B-Titre,Numéro,1,612,1008,BCDEEE+Lato,#555,85,126,559,574,6,P,Document;P
I-Titre,I,1314-2021-L,1,612,1008,BCDEEE+Lato,#555,131,196,559,574,6,P,Document;P
O,B-Tete,Règlement,2,612,1008,BCDGEE+ArialNarrow,#777,85,117,35,45,,Artifact,
O,I,de,2,612,1008,BCDGEE+ArialNarrow,#777,119,126,35,45,,Artifact,
O,I,lotissement,2,612,1008,BCDGEE+ArialNarrow,#777,128,161,35,45,,Artifact,
O,I,1314-2021-L,2,612,1008,BCDGEE+ArialNarrow,#777,163,200,35,45,,Artifact,
O,I,Table,2,612,1008,BCDGEE+ArialNarrow,#777,389,406,35,45,,Artifact,
O,I,des,2,612,1008,BCDGEE+ArialNarrow,#777,407,418,35,45,,Artifact,
O,I,"matières,",2,612,1008,BCDGEE+ArialNarrow,#777,420,447,35,45,,Artifact,
O,I,des,2,612,1008,BCDGEE+ArialNarrow,#777,449,459,35,45,,Artifact,
O,I,figures,2,612,1008,BCDGEE+ArialNarrow,#777,461,481,35,45,,Artifact,
O,I,et,2,612,1008,BCDGEE+ArialNarrow,#777,482,488,35,45,,Artifact,
O,I,des,2,612,1008,BCDGEE+ArialNarrow,#777,490,500,35,45,,Artifact,
O,I,tableaux,2,612,1008,BCDGEE+ArialNarrow,#777,502,527,35,45,,Artifact,
O,I,2,2,612,1008,BCDGEE+ArialNarrow,#777,523,527,963,973,,Artifact,
O,B-Titre,Table,2,612,1008,BCDFEE+Lato,#555,85,143,85,116,0,P,Document;TOC;TOCI;Span
O,I,des,2,612,1008,BCDFEE+Lato,#555,148,187,85,116,0,P,Document;TOC;TOCI;Span
O,I,matières,2,612,1008,BCDFEE+Lato,#555,193,287,85,116,0,P,Document;TOC;TOCI;Span
O,B-TOC,CHAPITRE,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,85,135,128,142,2,Span,Document;TOC;TOCI;Link;Span
O,I,1,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,138,144,128,142,2,Span,Document;TOC;TOCI;Link;Span
O,I,DISPOSITIONS,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,160,230,128,142,2,Span,Document;TOC;TOCI;Link;Span
O,I,"DÉCLARATOIRES,",2,612,1008,BCDHEE+ArialNarrow-Bold,#222,233,320,128,142,2,Span,Document;TOC;TOCI;Link;Span
O,I,INTERPRÉTATIVES,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,323,414,128,142,2,Span,Document;TOC;TOCI;Link;Span
O,I,ET,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,417,429,128,142,2,Span,Document;TOC;TOCI;Link;Span
O,I,ADMINISTRATIVES,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,432,522,128,142,2,Span,Document;TOC;TOCI;Link;Span
O,I,..................................................................................................................................,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,160,519,143,157,3,P,Document;TOC;TOCI;Span
O,I,5,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,522,527,143,157,4,Span,Document;TOC;TOCI;Link
O,I,SECTION,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,85,121,163,174,6,Span,Document;TOC;TOCI;Link;Span
O,I,1,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,124,128,163,174,6,Span,Document;TOC;TOCI;Link;Span
O,I,DISPOSITIONS,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,160,218,163,174,6,Span,Document;TOC;TOCI;Link;Span
O,I,DÉCLARATOIRES,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,220,291,163,174,6,Span,Document;TOC;TOCI;Link;Span
O,I,.....................................................................................................,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,292,522,163,174,7,P,Document;TOC;TOCI;Span
O,I,6,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,522,527,163,174,8,Span,Document;TOC;TOCI;Link
O,I,1.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,180,192,10,Span,Document;TOC;TOCI;Link;Span
O,I,Titre,2,612,1008,BCDGEE+ArialNarrow,#222,113,130,180,192,10,Span,Document;TOC;TOCI;Link;Span
O,I,du,2,612,1008,BCDGEE+ArialNarrow,#222,132,141,180,192,10,Span,Document;TOC;TOCI;Link;Span
O,I,règlement,2,612,1008,BCDGEE+ArialNarrow,#222,143,180,180,192,10,Span,Document;TOC;TOCI;Link;Span
O,I,......................................................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,180,522,180,192,11,P,Document;TOC;TOCI;Span
O,I,6,2,612,1008,BCDGEE+ArialNarrow,#222,522,527,180,192,12,Span,Document;TOC;TOCI;Link
O,I,2.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,193,204,14,Span,Document;TOC;TOCI;Link;Span
O,I,Abrogation,2,612,1008,BCDGEE+ArialNarrow,#222,113,153,193,204,14,Span,Document;TOC;TOCI;Link;Span
O,I,.................................................................................................................................................................,2,612,1008,BCDGEE+ArialNarrow,#222,155,522,193,204,15,P,Document;TOC;TOCI;Span
O,I,6,2,612,1008,BCDGEE+ArialNarrow,#222,522,527,193,204,16,Span,Document;TOC;TOCI;Link
O,I,3.,2,612,1008,BCDGEE+ArialNarrow,#222,85,92,205,217,18,Span,Document;TOC;TOCI;Link;Span
O,I,Portée,2,612,1008,BCDGEE+ArialNarrow,#222,113,137,205,217,18,Span,Document;TOC;TOCI;Link;Span
O,I,du,2,612,1008,BCDGEE+ArialNarrow,#222,140,149,205,217,18,Span,Document;TOC;TOCI;Link;Span
O,I,règlement,2,612,1008,BCDGEE+ArialNarrow,#222,151,188,205,217,18,Span,Document;TOC;TOCI;Link;Span
O,I,et,2,612,1008,BCDGEE+ArialNarrow,#222,190,197,205,217,18,Span,Document;TOC;TOCI;Link;Span
O,I,territoire,2,612,1008,BCDGEE+ArialNarrow,#222,199,229,205,217,18,Span,Document;TOC;TOCI;Link;Span
O,I,assujetti,2,612,1008,BCDGEE+ArialNarrow,#222,231,261,205,217,18,Span,Document;TOC;TOCI;Link;Span
