sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
B-Titre,B-Titre,Règlement,1,612,1008,BCDFEE+Lato,#555,85,203,515,546,3,P,Document;P;Span
I-Titre,I,sur,1,612,1008,BCDFEE+Lato,#555,208,243,515,546,3,P,Document;P;Span
I-Titre,I,les,1,612,1008,BCDFEE+Lato,#555,248,278,515,546,3,P,Document;P;Span
I-Titre,I,ententes,1,612,1008,BCDFEE+Lato,#555,283,380,515,546,3,P,Document;P;Span
I-Titre,I,relatives,1,612,1008,BCDFEE+Lato,#555,385,477,515,546,3,P,Document;P;Span
I-Titre,I,à,1,612,1008,BCDFEE+Lato,#555,482,495,515,546,3,P,Document;P;Span
I-Titre,I,des,1,612,1008,BCDFEE+Lato,#555,85,124,546,577,3,P,Document;P;Span
I-Titre,I,travaux,1,612,1008,BCDFEE+Lato,#555,129,211,546,577,3,P,Document;P;Span
I-Titre,I,municipaux,1,612,1008,BCDFEE+Lato,#555,217,343,546,577,3,P,Document;P;Span
I-Titre,B-Titre,Numéro,1,612,1008,BCDEEE+Lato,#555,85,126,577,592,5,P,Document;P
I-Titre,I,1314-2021-TM,1,612,1008,BCDEEE+Lato,#555,128,205,577,592,5,P,Document;P
O,B-Tete,Règlement,2,612,1008,BCDGEE+ArialNarrow,#777,85,117,35,45,,Artifact,
O,I,sur,2,612,1008,BCDGEE+ArialNarrow,#777,119,128,35,45,,Artifact,
O,I,les,2,612,1008,BCDGEE+ArialNarrow,#777,130,138,35,45,,Artifact,
O,I,ententes,2,612,1008,BCDGEE+ArialNarrow,#777,140,165,35,45,,Artifact,
O,I,relatives,2,612,1008,BCDGEE+ArialNarrow,#777,167,191,35,45,,Artifact,
O,I,à,2,612,1008,BCDGEE+ArialNarrow,#777,193,197,35,45,,Artifact,
O,I,des,2,612,1008,BCDGEE+ArialNarrow,#777,199,209,35,45,,Artifact,
O,I,travaux,2,612,1008,BCDGEE+ArialNarrow,#777,211,232,35,45,,Artifact,
O,I,municipaux,2,612,1008,BCDGEE+ArialNarrow,#777,234,267,35,45,,Artifact,
O,I,numéro,2,612,1008,BCDGEE+ArialNarrow,#777,269,291,35,45,,Artifact,
O,I,1314-2021-TM,2,612,1008,BCDGEE+ArialNarrow,#777,293,337,35,45,,Artifact,
O,I,Table,2,612,1008,BCDGEE+ArialNarrow,#777,389,406,35,45,,Artifact,
O,I,des,2,612,1008,BCDGEE+ArialNarrow,#777,407,418,35,45,,Artifact,
O,I,"matières,",2,612,1008,BCDGEE+ArialNarrow,#777,420,447,35,45,,Artifact,
O,I,des,2,612,1008,BCDGEE+ArialNarrow,#777,449,459,35,45,,Artifact,
O,I,figures,2,612,1008,BCDGEE+ArialNarrow,#777,461,481,35,45,,Artifact,
O,I,et,2,612,1008,BCDGEE+ArialNarrow,#777,483,488,35,45,,Artifact,
O,I,des,2,612,1008,BCDGEE+ArialNarrow,#777,490,500,35,45,,Artifact,
O,I,tableaux,2,612,1008,BCDGEE+ArialNarrow,#777,502,527,35,45,,Artifact,
O,I,2,2,612,1008,BCDGEE+ArialNarrow,#777,524,527,964,973,,Artifact,
O,B-Titre,Table,2,612,1008,BCDFEE+Lato,#555,85,143,85,116,0,P,Document;TOC;TOCI;Span
O,I,des,2,612,1008,BCDFEE+Lato,#555,148,187,85,116,0,P,Document;TOC;TOCI;Span
O,I,matières,2,612,1008,BCDFEE+Lato,#555,193,287,85,116,0,P,Document;TOC;TOCI;Span
O,B-TOC,CHAPITRE,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,85,135,128,142,2,Span,Document;TOC;TOCI;Link;Span
O,I,1,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,138,144,128,142,2,Span,Document;TOC;TOCI;Link;Span
O,I,DISPOSITIONS,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,160,230,128,142,2,Span,Document;TOC;TOCI;Link;Span
O,I,"DÉCLARATOIRES,",2,612,1008,BCDHEE+ArialNarrow-Bold,#222,233,320,128,142,2,Span,Document;TOC;TOCI;Link;Span
O,I,INTERPRÉTATIVES,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,323,414,128,142,2,Span,Document;TOC;TOCI;Link;Span
O,I,ET,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,417,429,128,142,2,Span,Document;TOC;TOCI;Link;Span
O,I,ADMINISTRATIVES,2,612,1008,BCDHEE+ArialNarrow-Bold,#222,432,522,128,142,2,Span,Document;TOC;TOCI;Link;Span
