sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
O,B-TitreS,TITRE,12,612,792,ADIXIG+Arial-BoldMT,#fff,34,77,78,95,,,
O,I,1,12,612,792,ADIXIG+Arial-BoldMT,#fff,82,90,78,95,,,
O,I,INTENTIONS,12,612,792,ADIXIG+Arial-BoldMT,#fff,94,185,78,95,,,
O,I,DU,12,612,792,ADIXIG+Arial-BoldMT,#fff,189,211,78,95,,,
O,I,RÈGLEMENT,12,612,792,ADIXIG+Arial-BoldMT,#000,215,309,78,95,,,
O,B-Chapitre,CHAPITRE,12,612,792,ADIXIG+Arial-BoldMT,#000,34,98,121,135,,,
O,I,1,12,612,792,ADIXIG+Arial-BoldMT,#000,101,108,121,135,,,
O,I,INTENTIONS,12,612,792,ADIXIG+Arial-BoldMT,#000,112,188,121,135,,,
O,I,DU,12,612,792,ADIXIG+Arial-BoldMT,#000,191,209,121,135,,,
O,I,RÈGLEMENT,12,612,792,ADIXIG+Arial-BoldMT,#000,213,291,121,135,,,
O,B-Titre,Origine,12,612,792,ADIXIG+Arial-BoldMT,#000,34,73,150,162,,,
O,I,du,12,612,792,ADIXIG+Arial-BoldMT,#000,76,89,150,162,,,
O,I,projet,12,612,792,ADIXIG+Arial-BoldMT,#000,92,123,150,162,,,
O,I,de,12,612,792,ADIXIG+Arial-BoldMT,#000,126,139,150,162,,,
O,I,remplacement,12,612,792,ADIXIG+Arial-BoldMT,#000,142,216,150,162,,,
O,I,des,12,612,792,ADIXIG+Arial-BoldMT,#000,219,238,150,162,,,
O,I,règlements,12,612,792,ADIXIG+Arial-BoldMT,#000,241,300,150,162,,,
O,I,d'urbanisme,12,612,792,AWCOTD+ArialMT,#000,303,368,150,162,,,
O,B-Alinea,En,12,612,792,AWCOTD+ArialMT,#000,34,46,165,176,,,
O,I,vigueur,12,612,792,AWCOTD+ArialMT,#000,49,82,165,176,,,
O,I,depuis,12,612,792,AWCOTD+ArialMT,#000,85,114,165,176,,,
O,I,le,12,612,792,AWCOTD+ArialMT,#000,117,125,165,176,,,
O,I,8,12,612,792,AWCOTD+ArialMT,#000,127,133,165,176,,,
O,I,décembre,12,612,792,AWCOTD+ArialMT,#000,136,180,165,176,,,
O,I,"2017,",12,612,792,AWCOTD+ArialMT,#000,183,208,165,176,,,
O,I,le,12,612,792,AWCOTD+ArialMT,#000,211,219,165,176,,,
O,I,schéma,12,612,792,AWCOTD+ArialMT,#000,221,256,165,176,,,
O,I,d’aménagement,12,612,792,AWCOTD+ArialMT,#000,259,331,165,176,,,
O,I,et,12,612,792,AWCOTD+ArialMT,#000,334,342,165,176,,,
O,I,de,12,612,792,AWCOTD+ArialMT,#000,345,356,165,176,,,
O,I,développement,12,612,792,AWCOTD+ArialMT,#000,359,427,165,176,,,
