sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
B-Titre,B-Titre,CODE,1,612,792,AWCOTD+ArialMT,#111,232,319,521,554,,,
I-Titre,I,DE,1,612,792,AWCOTD+ArialMT,#111,327,369,521,554,,,
I-Titre,I,L'URBANISME,1,612,792,AWCOTD+ArialMT,#111,377,578,521,554,,,
O,B-Titre,Table,2,612,792,ADIXIG+Arial-BoldMT,#000,34,78,72,91,,,
O,I,des,2,612,792,ADIXIG+Arial-BoldMT,#000,83,112,72,91,,,
O,I,matières,2,612,792,ADIXIG+Arial-BoldMT,#000,117,188,72,91,,,
O,B-TOC,CODE,2,612,792,ADIXIG+Arial-BoldMT,#000,58,87,102,113,,,
O,I,DE,2,612,792,ADIXIG+Arial-BoldMT,#000,90,104,102,113,,,
O,I,L'URBANISME,2,612,792,AWCOTD+ArialMT,#000,106,175,102,113,,,
O,I,................................................................................................................................,2,612,792,AWCOTD+ArialMT,#000,181,565,102,113,,,
O,I,11,2,612,792,ADIXIG+Arial-BoldMT,#000,568,578,102,113,,,
O,I,TITRE,2,612,792,ADIXIG+Arial-BoldMT,#000,58,87,115,126,,,
O,I,1,2,612,792,ADIXIG+Arial-BoldMT,#000,90,95,115,126,,,
O,I,INTENTIONS,2,612,792,ADIXIG+Arial-BoldMT,#000,98,159,115,126,,,
O,I,DU,2,612,792,ADIXIG+Arial-BoldMT,#000,161,176,115,126,,,
O,I,RÈGLEMENT,2,612,792,AWCOTD+ArialMT,#000,179,241,115,126,,,
O,I,.........................................................................................................,2,612,792,AWCOTD+ArialMT,#000,247,562,115,126,,,
O,I,12,2,612,792,ADIXIG+Arial-BoldMT,#000,567,578,115,126,,,
O,I,CHAPITRE,2,612,792,ADIXIG+Arial-BoldMT,#000,82,133,127,138,,,
O,I,1,2,612,792,ADIXIG+Arial-BoldMT,#000,136,141,127,138,,,
O,I,INTENTIONS,2,612,792,ADIXIG+Arial-BoldMT,#000,144,205,127,138,,,
O,I,DU,2,612,792,ADIXIG+Arial-BoldMT,#000,208,222,127,138,,,
O,I,RÈGLEMENT,2,612,792,AWCOTD+ArialMT,#000,225,288,127,138,,,
O,I,..........................................................................................,2,612,792,AWCOTD+ArialMT,#000,292,562,127,138,,,
O,I,12,2,612,792,ADIXIG+Arial-BoldMT,#000,567,578,127,138,,,
O,I,Origine,2,612,792,ADIXIG+Arial-BoldMT,#000,106,141,140,151,,,
O,I,du,2,612,792,ADIXIG+Arial-BoldMT,#000,144,156,140,151,,,
O,I,projet,2,612,792,ADIXIG+Arial-BoldMT,#000,159,187,140,151,,,
O,I,de,2,612,792,ADIXIG+Arial-BoldMT,#000,189,201,140,151,,,
O,I,remplacement,2,612,792,ADIXIG+Arial-BoldMT,#000,204,272,140,151,,,
O,I,des,2,612,792,ADIXIG+Arial-BoldMT,#000,274,292,140,151,,,
O,I,règlements,2,612,792,ADIXIG+Arial-BoldMT,#000,294,348,140,151,,,
O,I,d'urbanisme,2,612,792,AWCOTD+ArialMT,#000,351,410,140,151,,,
O,I,.................................................,2,612,792,AWCOTD+ArialMT,#000,415,562,140,151,,,
O,I,12,2,612,792,ADIXIG+Arial-BoldMT,#000,567,578,140,151,,,
O,I,Règlement,2,612,792,ADIXIG+Arial-BoldMT,#000,106,157,152,163,,,
O,I,d'urbanisme,2,612,792,ADIXIG+Arial-BoldMT,#000,160,219,152,163,,,
O,I,unifié,2,612,792,AWCOTD+ArialMT,#000,222,248,152,163,,,
O,I,.......................................................................................................,2,612,792,AWCOTD+ArialMT,#000,253,562,152,163,,,
O,I,12,2,612,792,ADIXIG+Arial-BoldMT,#000,567,578,152,163,,,
O,I,Orientations,2,612,792,ADIXIG+Arial-BoldMT,#000,106,165,165,176,,,
O,I,de,2,612,792,ADIXIG+Arial-BoldMT,#000,168,179,165,176,,,
O,I,développement,2,612,792,ADIXIG+Arial-BoldMT,#000,182,255,165,176,,,
O,I,durable,2,612,792,AWCOTD+ArialMT,#000,258,294,165,176,,,
O,I,........................................................................................,2,612,792,AWCOTD+ArialMT,#000,298,562,165,176,,,
O,I,12,2,612,792,ADIXIG+Arial-BoldMT,#000,567,578,165,176,,,
O,I,Gestion,2,612,792,ADIXIG+Arial-BoldMT,#000,106,143,177,188,,,
O,I,de,2,612,792,ADIXIG+Arial-BoldMT,#000,146,158,177,188,,,
O,I,l’aménagement,2,612,792,ADIXIG+Arial-BoldMT,#000,160,233,177,188,,,
O,I,du,2,612,792,ADIXIG+Arial-BoldMT,#000,236,248,177,188,,,
O,I,territoire,2,612,792,ADIXIG+Arial-BoldMT,#000,251,292,177,188,,,
O,I,en,2,612,792,ADIXIG+Arial-BoldMT,#000,295,307,177,188,,,
O,I,fonction,2,612,792,ADIXIG+Arial-BoldMT,#000,309,349,177,188,,,
O,I,de,2,612,792,ADIXIG+Arial-BoldMT,#000,352,363,177,188,,,
O,I,la,2,612,792,ADIXIG+Arial-BoldMT,#000,366,374,177,188,,,
O,I,forme,2,612,792,ADIXIG+Arial-BoldMT,#000,377,405,177,188,,,
O,I,urbaine,2,612,792,ADIXIG+Arial-BoldMT,#000,408,444,177,188,,,
O,I,ou,2,612,792,ADIXIG+Arial-BoldMT,#000,447,459,177,188,,,
O,I,du,2,612,792,ADIXIG+Arial-BoldMT,#000,462,474,177,188,,,
O,I,paysage,2,612,792,AWCOTD+ArialMT,#000,477,517,177,188,,,
O,I,..............,2,612,792,AWCOTD+ArialMT,#000,520,562,177,188,,,
O,I,12,2,612,792,ADIXIG+Arial-BoldMT,#000,567,578,177,188,,,
O,I,Un,2,612,792,ADIXIG+Arial-BoldMT,#000,106,119,190,201,,,
O,I,règlement,2,612,792,ADIXIG+Arial-BoldMT,#000,122,170,190,201,,,
O,I,d’urbanisme,2,612,792,ADIXIG+Arial-BoldMT,#000,173,232,190,201,,,
O,I,adapté,2,612,792,ADIXIG+Arial-BoldMT,#000,235,267,190,201,,,
O,I,aux,2,612,792,ADIXIG+Arial-BoldMT,#000,270,287,190,201,,,
O,I,enjeux,2,612,792,ADIXIG+Arial-BoldMT,#000,290,322,190,201,,,
O,I,d’aménagement,2,612,792,ADIXIG+Arial-BoldMT,#000,324,401,190,201,,,
O,I,du,2,612,792,ADIXIG+Arial-BoldMT,#000,403,416,190,201,,,
O,I,territoire,2,612,792,ADIXIG+Arial-BoldMT,#000,418,459,190,201,,,
O,I,lavallois,2,612,792,AWCOTD+ArialMT,#000,462,502,190,201,,,
O,I,...................,2,612,792,AWCOTD+ArialMT,#000,505,562,190,201,,,
O,I,13,2,612,792,ADIXIG+Arial-BoldMT,#000,567,578,190,201,,,
O,I,TITRE,2,612,792,ADIXIG+Arial-BoldMT,#000,58,87,202,213,,,
O,I,2,2,612,792,ADIXIG+Arial-BoldMT,#000,90,95,202,213,,,
O,I,DÉCLARATIONS,2,612,792,ADIXIG+Arial-BoldMT,#000,98,177,202,213,,,
O,I,ET,2,612,792,ADIXIG+Arial-BoldMT,#000,180,192,202,213,,,
O,I,EXPLICATIONS,2,612,792,ADIXIG+Arial-BoldMT,#000,195,268,202,213,,,
O,I,GÉNÉRALES,2,612,792,AWCOTD+ArialMT,#000,271,333,202,213,,,
O,I,...........................................................................,2,612,792,AWCOTD+ArialMT,#000,337,562,202,213,,,
O,I,14,2,612,792,ADIXIG+Arial-BoldMT,#000,567,578,202,213,,,
O,I,CHAPITRE,2,612,792,ADIXIG+Arial-BoldMT,#000,82,133,215,226,,,
O,I,1,2,612,792,ADIXIG+Arial-BoldMT,#000,136,141,215,226,,,
O,I,DISPOSITIONS,2,612,792,ADIXIG+Arial-BoldMT,#000,144,215,215,226,,,
O,I,DÉCLARATOIRES,2,612,792,AWCOTD+ArialMT,#000,218,303,215,226,,,
O,I,.....................................................................................,2,612,792,AWCOTD+ArialMT,#000,307,562,215,226,,,
O,I,14,2,612,792,ADIXIG+Arial-BoldMT,#000,567,578,215,226,,,
O,I,SECTION,2,612,792,ADIXIG+Arial-BoldMT,#000,106,150,227,238,,,
O,I,1,2,612,792,ADIXIG+Arial-BoldMT,#000,153,159,227,238,,,
O,I,Territoire,2,612,792,ADIXIG+Arial-BoldMT,#000,162,205,227,238,,,
O,I,et,2,612,792,ADIXIG+Arial-BoldMT,#000,208,216,227,238,,,
O,I,application,2,612,792,AWCOTD+ArialMT,#000,219,272,227,238,,,
O,I,...............................................................................................,2,612,792,AWCOTD+ArialMT,#000,277,562,227,238,,,
O,I,14,2,612,792,ADIXIG+Arial-BoldMT,#000,567,578,227,238,,,
O,I,SECTION,2,612,792,ADIXIG+Arial-BoldMT,#000,106,150,240,251,,,
O,I,2,2,612,792,ADIXIG+Arial-BoldMT,#000,153,159,240,251,,,
O,I,Lois,2,612,792,ADIXIG+Arial-BoldMT,#000,162,182,240,251,,,
O,I,et,2,612,792,ADIXIG+Arial-BoldMT,#000,185,194,240,251,,,
O,I,règlements,2,612,792,AWCOTD+ArialMT,#000,197,250,240,251,,,
O,I,.......................................................................................................,2,612,792,AWCOTD+ArialMT,#000,253,562,240,251,,,
O,I,14,2,612,792,ADIXIG+Arial-BoldMT,#000,567,578,240,251,,,
O,I,SECTION,2,612,792,ADIXIG+Arial-BoldMT,#000,106,150,252,263,,,
O,I,3,2,612,792,ADIXIG+Arial-BoldMT,#000,153,159,252,263,,,
O,I,Documents,2,612,792,ADIXIG+Arial-BoldMT,#000,162,216,252,263,,,
O,I,annexés,2,612,792,AWCOTD+ArialMT,#000,219,259,252,263,,,
O,I,....................................................................................................,2,612,792,AWCOTD+ArialMT,#000,262,562,252,263,,,
O,I,14,2,612,792,ADIXIG+Arial-BoldMT,#000,567,578,252,263,,,
O,I,SECTION,2,612,792,ADIXIG+Arial-BoldMT,#000,106,150,265,276,,,
O,I,4,2,612,792,ADIXIG+Arial-BoldMT,#000,153,159,265,276,,,
O,I,Remplacement,2,612,792,AWCOTD+ArialMT,#000,162,233,265,276,,,
O,I,............................................................................................................,2,612,792,AWCOTD+ArialMT,#000,238,562,265,276,,,
O,I,15,2,612,792,ADIXIG+Arial-BoldMT,#000,567,578,265,276,,,
O,I,CHAPITRE,2,612,792,ADIXIG+Arial-BoldMT,#000,82,133,277,288,,,
O,I,2,2,612,792,ADIXIG+Arial-BoldMT,#000,136,141,277,288,,,
O,I,FONCTIONNEMENT,2,612,792,AWCOTD+ArialMT,#000,144,239,277,288,,,
O,I,..........................................................................................................,2,612,792,AWCOTD+ArialMT,#000,244,562,277,288,,,
