sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
O,B-Article,814.,384,612,792,ADIXIG+Arial-BoldMT,#000,34,53,73,84,,,
O,B-Alinea,Les,384,612,792,AWCOTD+ArialMT,#000,56,72,73,84,,,
O,I,dispositions,384,612,792,AWCOTD+ArialMT,#000,75,127,73,84,,,
O,I,du,384,612,792,AWCOTD+ArialMT,#000,130,141,73,84,,,
O,I,tableau,384,612,792,AWCOTD+ArialMT,#000,144,177,73,84,,,
O,I,suivant,384,612,792,AWCOTD+ArialMT,#000,180,211,73,84,,,
O,I,s’appliquent,384,612,792,AWCOTD+ArialMT,#000,214,267,73,84,,,
O,I,aux,384,612,792,AWCOTD+ArialMT,#000,270,286,73,84,,,
O,I,façades,384,612,792,AWCOTD+ArialMT,#000,289,324,73,84,,,
O,I,d’un,384,612,792,AWCOTD+ArialMT,#000,327,346,73,84,,,
O,I,bâtiment,384,612,792,AWCOTD+ArialMT,#000,349,387,73,84,,,
O,I,principal,384,612,792,AWCOTD+ArialMT,#000,390,427,73,84,,,
O,I,dans,384,612,792,AWCOTD+ArialMT,#000,430,451,73,84,,,
O,I,le,384,612,792,AWCOTD+ArialMT,#000,454,462,73,84,,,
O,I,type,384,612,792,AWCOTD+ArialMT,#000,465,484,73,84,,,
O,I,de,384,612,792,AWCOTD+ArialMT,#000,486,498,73,84,,,
O,I,milieux,384,612,792,AWCOTD+ArialMT,#000,500,531,73,84,,,
O,I,T1.1.,384,612,792,ADIXIG+Arial-BoldMT,#000,534,557,73,84,,,
O,B-Titre,Tableau,384,612,792,ADIXIG+Arial-BoldMT,#000,34,66,97,108,,,
O,B-Article,179.,384,612,792,ADIXIG+Arial-BoldMT,#000,69,86,97,108,,,
O,I,Façade,384,612,792,ADIXIG+Arial-BoldMT,#000,88,118,97,108,,,
O,I,principale,384,612,792,ADIXIG+Arial-BoldMT,#000,121,162,97,108,,,
O,B-Titre,Façade,384,612,792,ADIXIG+Arial-BoldMT,#fff,39,69,118,129,,,
O,I,principale,384,612,792,ADIXIG+Arial-BoldMT,#fff,72,113,118,129,,,
O,B-Titre,Type,384,612,792,ADIXIG+Arial-BoldMT,#000,459,479,134,146,,,
O,B-Alinea,Matériaux,384,612,792,AEAUKO+Arial-ItalicMT,#000,66,105,151,162,,,
O,I,de,384,612,792,AEAUKO+Arial-ItalicMT,#000,107,117,151,162,,,
O,I,revêtement,384,612,792,AEAUKO+Arial-ItalicMT,#000,119,163,151,162,,,
O,I,autorisés,384,612,792,AEAUKO+Arial-ItalicMT,#000,165,201,151,162,,,
O,I,C,384,612,792,AWCOTD+ArialMT,#000,466,472,151,162,,,
O,I,1,384,612,792,AWCOTD+ArialMT,#000,562,566,155,164,,,
O,B-SousSection,Sous-section,384,612,792,ADIXIG+Arial-BoldMT,#000,34,97,179,191,,,
