sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
B-Titre,B-Tete,Règlement,473,1008,612,BCDEEE+ArialNarrow,#777,72,104,35,45,,Artifact,
I-Titre,I,de,473,1008,612,BCDEEE+ArialNarrow,#777,106,113,35,45,,Artifact,
I-Titre,I,zonage,473,1008,612,BCDEEE+ArialNarrow,#777,115,136,35,45,,Artifact,
I-Titre,I,1314-2021-Z,473,1008,612,BCDEEE+ArialNarrow,#777,138,176,35,45,,Artifact,
O,I,Annexe,473,1008,612,BCDEEE+ArialNarrow,#777,649,671,35,45,,Artifact,
O,I,C,473,1008,612,BCDEEE+ArialNarrow,#777,673,678,35,45,,Artifact,
O,I,–,473,1008,612,BCDMEE+ArialNarrow,#777,680,684,35,45,,Artifact,
O,I,Liste,473,1008,612,BCDEEE+ArialNarrow,#777,685,699,35,45,,Artifact,
O,I,des,473,1008,612,BCDEEE+ArialNarrow,#777,701,712,35,45,,Artifact,
O,I,"arbres,",473,1008,612,BCDEEE+ArialNarrow,#777,713,734,35,45,,Artifact,
O,I,arbustes,473,1008,612,BCDEEE+ArialNarrow,#777,736,761,35,45,,Artifact,
O,I,et,473,1008,612,BCDEEE+ArialNarrow,#777,763,768,35,45,,Artifact,
O,I,plantes,473,1008,612,BCDEEE+ArialNarrow,#777,770,791,35,45,,Artifact,
O,I,recommandées,473,1008,612,BCDEEE+ArialNarrow,#777,793,838,35,45,,Artifact,
O,I,pour,473,1008,612,BCDEEE+ArialNarrow,#777,840,853,35,45,,Artifact,
O,I,la,473,1008,612,BCDEEE+ArialNarrow,#777,855,860,35,45,,Artifact,
O,I,revégétalisation,473,1008,612,BCDEEE+ArialNarrow,#777,862,908,35,45,,Artifact,
O,I,de,473,1008,612,BCDEEE+ArialNarrow,#777,910,917,35,45,,Artifact,
O,I,la,473,1008,612,BCDEEE+ArialNarrow,#777,919,924,35,45,,Artifact,
O,I,rive,473,1008,612,BCDEEE+ArialNarrow,#777,926,936,35,45,,Artifact,
O,B-Alinea,473,473,1008,612,BCDEEE+ArialNarrow,#000,925,936,555,564,,Artifact,
O,B-Titre,ARBRES,473,1008,612,BCDKEE+ArialNarrow-Bold,#222,72,106,94,106,0,Span,L;L;L;L;L;L;LI;Lbl
O,B-Alinea,Nom,473,1008,612,BCDEEE+ArialNarrow,#fff,77,93,117,128,3,Span,Table;TR;TH;P
O,I,latin,473,1008,612,BCDEEE+ArialNarrow,#fff,95,108,117,128,3,Span,Table;TR;TH;P
O,I,Nom,473,1008,612,BCDEEE+ArialNarrow,#fff,191,206,117,128,5,Span,Table;TR;TH;P
O,I,commun,473,1008,612,BCDEEE+ArialNarrow,#fff,208,237,117,128,5,Span,Table;TR;TH;P
O,I,Nom,473,1008,612,BCDEEE+ArialNarrow,#fff,304,320,117,128,7,Span,Table;TR;TH;P
O,I,anglais,473,1008,612,BCDEEE+ArialNarrow,#fff,322,345,117,128,7,Span,Table;TR;TH;P
O,I,Exposition,473,1008,612,BCDEEE+ArialNarrow,#fff,418,452,117,128,9,Span,Table;TR;TH;P
O,I,Hauteur,473,1008,612,BCDEEE+ArialNarrow,#fff,474,500,117,128,11,Span,Table;TR;TH;P
O,I,(m),473,1008,612,BCDEEE+ArialNarrow,#fff,503,514,117,128,11,Span,Table;TR;TH;P
O,I,Humidité,473,1008,612,BCDEEE+ArialNarrow,#fff,531,560,117,128,13,Span,Table;TR;TH;P
O,I,Sol,473,1008,612,BCDEEE+ArialNarrow,#fff,588,598,117,128,15,Span,Table;TR;TH;P
O,I,Stabilisation,473,1008,612,BCDEEE+ArialNarrow,#fff,644,684,117,128,17,Span,Table;TR;TH;P
O,B-Alinea,Abies,473,1008,612,BCDEEE+ArialNarrow,#000,77,96,140,151,18,Span,Table;TR;TH;P
O,I,balsamea,473,1008,612,BCDEEE+ArialNarrow,#000,98,130,140,151,18,Span,Table;TR;TH;P
O,I,Sapin,473,1008,612,BCDEEE+ArialNarrow,#000,191,210,140,151,19,Span,Table;TR;TD;P
O,I,baumier,473,1008,612,BCDEEE+ArialNarrow,#000,212,238,140,151,19,Span,Table;TR;TD;P
O,I,Balsam,473,1008,612,BCDEEE+ArialNarrow,#000,304,329,140,151,20,Span,Table;TR;TD;P
O,I,Fir,473,1008,612,BCDEEE+ArialNarrow,#000,331,340,140,151,20,Span,Table;TR;TD;P
O,I,S/MO,473,1008,612,BCDEEE+ArialNarrow,#000,431,450,140,151,21,Span,Table;TR;TD;P
O,I,25,473,1008,612,BCDEEE+ArialNarrow,#000,493,501,140,151,22,Span,Table;TR;TD;P
O,I,M/E,473,1008,612,BCDEEE+ArialNarrow,#000,547,560,140,151,23,Span,Table;TR;TD;P
O,I,T,473,1008,612,BCDEEE+ArialNarrow,#000,608,613,140,151,24,Span,Table;TR;TD;P
O,B-Alinea,Acer,473,1008,612,BCDEEE+ArialNarrow,#000,77,93,163,174,26,Span,Table;TR;TH;P
O,I,pensylvanicum,473,1008,612,BCDEEE+ArialNarrow,#000,95,143,163,174,26,Span,Table;TR;TH;P
O,I,Érable,473,1008,612,BCDEEE+ArialNarrow,#000,191,212,163,174,27,Span,Table;TR;TD;P
O,I,de,473,1008,612,BCDEEE+ArialNarrow,#000,214,222,163,174,27,Span,Table;TR;TD;P
O,I,Pennsylvanie,473,1008,612,BCDEEE+ArialNarrow,#000,224,268,163,174,27,Span,Table;TR;TD;P
O,I,Striped,473,1008,612,BCDEEE+ArialNarrow,#000,304,328,163,174,28,Span,Table;TR;TD;P
O,I,Maple,473,1008,612,BCDEEE+ArialNarrow,#000,330,350,163,174,28,Span,Table;TR;TD;P
O,I,MO/O,473,1008,612,BCDEEE+ArialNarrow,#000,431,450,163,174,29,Span,Table;TR;TD;P
O,I,15,473,1008,612,BCDEEE+ArialNarrow,#000,493,501,163,174,30,Span,Table;TR;TD;P
O,I,M/E,473,1008,612,BCDEEE+ArialNarrow,#000,547,560,163,174,31,Span,Table;TR;TD;P
O,I,L/S/G,473,1008,612,BCDEEE+ArialNarrow,#000,601,620,163,174,32,Span,Table;TR;TD;P
O,B-Alinea,Acer,473,1008,612,BCDEEE+ArialNarrow,#000,77,93,186,196,34,Span,Table;TR;TH;P
O,I,rubrum,473,1008,612,BCDEEE+ArialNarrow,#000,95,118,186,196,34,Span,Table;TR;TH;P
O,I,Érable,473,1008,612,BCDEEE+ArialNarrow,#000,191,212,186,196,35,Span,Table;TR;TD;P
O,I,rouge,473,1008,612,BCDEEE+ArialNarrow,#000,214,233,186,196,35,Span,Table;TR;TD;P
O,I,Red,473,1008,612,BCDEEE+ArialNarrow,#000,304,318,186,196,36,Span,Table;TR;TD;P
O,I,Maple,473,1008,612,BCDEEE+ArialNarrow,#000,320,340,186,196,36,Span,Table;TR;TD;P
O,I,S/MO,473,1008,612,BCDEEE+ArialNarrow,#000,431,450,186,196,37,Span,Table;TR;TD;P
O,I,20,473,1008,612,BCDEEE+ArialNarrow,#000,493,501,186,196,38,Span,Table;TR;TD;P
O,I,M/E,473,1008,612,BCDEEE+ArialNarrow,#000,547,560,186,196,39,Span,Table;TR;TD;P
O,I,T,473,1008,612,BCDEEE+ArialNarrow,#000,608,613,186,196,40,Span,Table;TR;TD;P
O,B-Alinea,Acer,473,1008,612,BCDEEE+ArialNarrow,#000,77,93,209,219,42,Span,Table;TR;TH;P
O,I,saccharinum,473,1008,612,BCDEEE+ArialNarrow,#000,95,137,209,219,42,Span,Table;TR;TH;P
O,I,Érable,473,1008,612,BCDEEE+ArialNarrow,#000,191,212,209,219,43,Span,Table;TR;TD;P
O,I,argenté,473,1008,612,BCDEEE+ArialNarrow,#000,214,239,209,219,43,Span,Table;TR;TD;P
O,I,Silver,473,1008,612,BCDEEE+ArialNarrow,#000,304,323,209,219,44,Span,Table;TR;TD;P
O,I,Maple,473,1008,612,BCDEEE+ArialNarrow,#000,325,345,209,219,44,Span,Table;TR;TD;P
O,I,S/MO,473,1008,612,BCDEEE+ArialNarrow,#000,431,450,209,219,45,Span,Table;TR;TD;P
O,I,30,473,1008,612,BCDEEE+ArialNarrow,#000,493,501,209,219,46,Span,Table;TR;TD;P
O,I,M/E,473,1008,612,BCDEEE+ArialNarrow,#000,547,560,209,219,47,Span,Table;TR;TD;P
O,I,L/A,473,1008,612,BCDEEE+ArialNarrow,#000,605,616,209,219,48,Span,Table;TR;TD;P
O,B-Alinea,Acer,473,1008,612,BCDEEE+ArialNarrow,#000,77,93,232,243,50,Span,Table;TR;TH;P
O,I,saccharum,473,1008,612,BCDEEE+ArialNarrow,#000,95,131,232,243,50,Span,Table;TR;TH;P
O,I,Érable,473,1008,612,BCDEEE+ArialNarrow,#000,191,212,232,243,51,Span,Table;TR;TD;P
O,I,à,473,1008,612,BCDEEE+ArialNarrow,#000,214,218,232,243,51,Span,Table;TR;TD;P
O,I,sucre,473,1008,612,BCDEEE+ArialNarrow,#000,220,238,232,243,51,Span,Table;TR;TD;P
O,I,Sugar,473,1008,612,BCDEEE+ArialNarrow,#000,304,324,232,243,52,Span,Table;TR;TD;P
O,I,Maple,473,1008,612,BCDEEE+ArialNarrow,#000,326,346,232,243,52,Span,Table;TR;TD;P
O,I,S/MO,473,1008,612,BCDEEE+ArialNarrow,#000,431,450,232,243,53,Span,Table;TR;TD;P
