sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
B-Titre,B-Tete,Règlement,1,612,1008,BCDEEE+ArialNarrow,#777,85,117,35,45,,Artifact,
I-Titre,I,de,1,612,1008,BCDEEE+ArialNarrow,#777,119,126,35,45,,Artifact,
I-Titre,I,zonage,1,612,1008,BCDEEE+ArialNarrow,#777,128,149,35,45,,Artifact,
I-Titre,I,1314-2021-Z,1,612,1008,BCDEEE+ArialNarrow,#777,151,189,35,45,,Artifact,
O,I,Chapitre,1,612,1008,BCDEEE+ArialNarrow,#777,324,349,35,45,,Artifact,
O,I,4,1,612,1008,BCDEEE+ArialNarrow,#777,351,355,35,45,,Artifact,
O,I,–,1,612,1008,BCDMEE+ArialNarrow,#777,356,360,35,45,,Artifact,
O,I,Aménagement,1,612,1008,BCDMEE+ArialNarrow,#777,362,405,35,45,,Artifact,
O,I,et,1,612,1008,BCDMEE+ArialNarrow,#777,406,412,35,45,,Artifact,
O,I,architecture,1,612,1008,BCDMEE+ArialNarrow,#777,414,448,35,45,,Artifact,
O,I,sur,1,612,1008,BCDMEE+ArialNarrow,#777,450,459,35,45,,Artifact,
O,I,l’ensemble,1,612,1008,BCDMEE+ArialNarrow,#777,461,492,35,45,,Artifact,
O,I,du,1,612,1008,BCDMEE+ArialNarrow,#777,494,501,35,45,,Artifact,
O,I,territoire,1,612,1008,BCDMEE+ArialNarrow,#777,503,527,35,45,,Artifact,
O,B-Pied,120,1,612,1008,BCDEEE+ArialNarrow,#000,516,527,951,960,,Artifact,
O,B-Article,258.,1,612,1008,BCDKEE+ArialNarrow-Bold,#000,103,119,72,83,0,Span,H3
O,I,Nombre,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,121,152,72,83,0,Span,H3
O,I,minimum,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,154,191,72,83,0,Span,H3
O,I,de,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,193,203,72,83,0,Span,H3
O,I,cases,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,205,228,72,83,0,Span,H3
O,I,de,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,230,240,72,83,0,Span,H3
O,I,stationnement,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,242,298,72,83,0,Span,H3
O,I,hors,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,300,318,72,83,0,Span,H3
O,I,rue,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,320,333,72,83,0,Span,H3
O,I,pour,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,335,353,72,83,0,Span,H3
O,I,un,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,356,366,72,83,0,Span,H3
O,I,usage,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,368,392,72,83,0,Span,H3
O,I,d’un,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,394,411,72,83,0,Span,H3
O,I,groupe,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,413,441,72,83,0,Span,H3
O,I,autre,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,443,464,72,83,0,Span,H3
O,I,que,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,466,480,72,83,0,Span,H3
O,I,Habitation,1,612,1008,BCDNEE+ArialNarrow-Bold,#000,483,523,72,83,0,Span,H3
O,I,(H),1,612,1008,BCDKEE+ArialNarrow-Bold,#000,121,132,84,95,0,Span,H3
O,B-Alinea,Pour,1,612,1008,BCDMEE+ArialNarrow,#000,85,102,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,tout,1,612,1008,BCDMEE+ArialNarrow,#000,105,118,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,usage,1,612,1008,BCDMEE+ArialNarrow,#000,121,143,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,d’un,1,612,1008,BCDMEE+ArialNarrow,#000,146,161,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,groupe,1,612,1008,BCDMEE+ArialNarrow,#000,163,189,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,autre,1,612,1008,BCDMEE+ArialNarrow,#000,191,210,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,que,1,612,1008,BCDMEE+ArialNarrow,#000,212,226,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,«,1,612,1008,BCDMEE+ArialNarrow,#000,228,233,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,Habitation,1,612,1008,BCDMEE+ArialNarrow,#000,235,272,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,(H),1,612,1008,BCDMEE+ArialNarrow,#000,274,286,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,"»,",1,612,1008,BCDMEE+ArialNarrow,#000,288,295,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,aucun,1,612,1008,BCDMEE+ArialNarrow,#000,297,320,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,nombre,1,612,1008,BCDMEE+ArialNarrow,#000,322,350,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,minimal,1,612,1008,BCDMEE+ArialNarrow,#000,352,380,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,absolu,1,612,1008,BCDMEE+ArialNarrow,#000,383,407,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,de,1,612,1008,BCDMEE+ArialNarrow,#000,409,418,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
O,I,cases,1,612,1008,BCDMEE+ArialNarrow,#000,421,442,104,115,1,Span,L;L;L;L;L;L;LI;Lbl
