sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,mcid,mctag,tagstack
O,B-Pied,189,189,612,1008,BCDEEE+ArialNarrow,#000,516,527,951,960,,Artifact,
O,B-Chapitre,CHAPITRE,189,612,1008,BCDKEE+ArialNarrow-Bold,#222,178,253,511,531,1,P,H1
O,I,7,189,612,1008,BCDKEE+ArialNarrow-Bold,#222,257,265,511,531,1,P,H1
O,I,TYPES,189,612,1008,BCDKEE+ArialNarrow-Bold,#222,269,318,511,531,2,Span,H1
O,I,DE,189,612,1008,BCDKEE+ArialNarrow-Bold,#222,322,342,511,531,2,Span,H1
O,I,MILIEUX,189,612,1008,BCDKEE+ArialNarrow-Bold,#222,346,406,511,531,2,Span,H1
O,I,ET,189,612,1008,BCDKEE+ArialNarrow-Bold,#222,411,429,511,531,2,Span,H1
O,I,ZONES,189,612,1008,BCDKEE+ArialNarrow-Bold,#222,433,484,511,531,2,Span,H1
O,B-Tete,Règlement,190,612,1008,BCDEEE+ArialNarrow,#777,85,117,35,45,,Artifact,
O,I,de,190,612,1008,BCDEEE+ArialNarrow,#777,119,126,35,45,,Artifact,
O,I,zonage,190,612,1008,BCDEEE+ArialNarrow,#777,128,149,35,45,,Artifact,
O,I,1314-2021-Z,190,612,1008,BCDEEE+ArialNarrow,#777,151,189,35,45,,Artifact,
O,I,Chapitre,190,612,1008,BCDEEE+ArialNarrow,#777,414,439,35,45,,Artifact,
O,I,7,190,612,1008,BCDEEE+ArialNarrow,#777,440,444,35,45,,Artifact,
O,I,–,190,612,1008,BCDMEE+ArialNarrow,#777,446,450,35,45,,Artifact,
O,I,Types,190,612,1008,BCDEEE+ArialNarrow,#777,451,469,35,45,,Artifact,
O,I,de,190,612,1008,BCDEEE+ArialNarrow,#777,471,478,35,45,,Artifact,
O,I,milieux,190,612,1008,BCDEEE+ArialNarrow,#777,480,501,35,45,,Artifact,
O,I,et,190,612,1008,BCDEEE+ArialNarrow,#777,502,508,35,45,,Artifact,
O,I,zones,190,612,1008,BCDEEE+ArialNarrow,#777,510,527,35,45,,Artifact,
O,B-Pied,190,190,612,1008,BCDEEE+ArialNarrow,#000,516,527,951,960,,Artifact,
O,B-Section,SECTION,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,85,136,96,112,0,Span,H2
O,I,1,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,139,146,96,112,0,Span,H2
O,I,DISPOSITIONS,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,159,241,96,112,0,Span,H2
O,I,EXPLICATIVES,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,244,327,96,112,0,Span,H2
O,I,DES,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,330,353,96,112,0,Span,H2
O,I,FICHES,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,357,399,96,112,0,Span,H2
O,I,RÉGLEMENTAIRES,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,402,509,96,112,0,Span,H2
O,I,DES,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,229,252,112,128,0,Span,H2
O,I,TYPES,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,255,293,112,128,0,Span,H2
O,I,DE,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,296,312,112,128,0,Span,H2
O,I,MILIEUX,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,315,362,112,128,0,Span,H2
O,B-SousSection,DOMAINE,190,612,1008,BCDNEE+ArialNarrow-Bold,#000,193,232,152,164,1,P,H2
O,I,D’APPLICATION,190,612,1008,BCDNEE+ArialNarrow-Bold,#000,234,298,152,164,1,P,H2
O,B-Article,431.,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,85,101,182,193,2,Span,H3
O,I,Signification,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,103,152,182,193,2,Span,H3
O,I,des,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,155,169,182,193,2,Span,H3
O,I,mots,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,171,190,182,193,2,Span,H3
O,I,et,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,193,200,182,193,2,Span,H3
O,I,expressions,190,612,1008,BCDKEE+ArialNarrow-Bold,#222,202,250,182,193,2,Span,H3
O,B-Alinea,Les,190,612,1008,BCDEEE+ArialNarrow,#222,85,98,202,214,3,Span,L;L;L;L;L;L;LI;Lbl
O,I,sections,190,612,1008,BCDEEE+ArialNarrow,#222,101,131,202,214,3,Span,L;L;L;L;L;L;LI;Lbl
O,I,suivantes,190,612,1008,BCDEEE+ArialNarrow,#222,134,168,202,214,3,Span,L;L;L;L;L;L;LI;Lbl
O,I,précisent,190,612,1008,BCDEEE+ArialNarrow,#222,171,205,202,214,3,Span,L;L;L;L;L;L;LI;Lbl
O,I,la,190,612,1008,BCDEEE+ArialNarrow,#222,207,214,202,214,3,Span,L;L;L;L;L;L;LI;Lbl
O,I,signification,190,612,1008,BCDEEE+ArialNarrow,#222,217,259,202,214,3,Span,L;L;L;L;L;L;LI;Lbl
O,I,des,190,612,1008,BCDEEE+ArialNarrow,#222,262,275,202,214,3,Span,L;L;L;L;L;L;LI;Lbl
O,I,mots,190,612,1008,BCDEEE+ArialNarrow,#222,278,296,202,214,3,Span,L;L;L;L;L;L;LI;Lbl
O,I,et,190,612,1008,BCDEEE+ArialNarrow,#222,299,305,202,214,3,Span,L;L;L;L;L;L;LI;Lbl
O,I,des,190,612,1008,BCDEEE+ArialNarrow,#222,308,321,202,214,3,Span,L;L;L;L;L;L;LI;Lbl
O,I,expressions,190,612,1008,BCDEEE+ArialNarrow,#222,324,368,202,214,3,Span,L;L;L;L;L;L;LI;Lbl
O,I,utilisés,190,612,1008,BCDEEE+ArialNarrow,#222,371,396,202,214,3,Span,L;L;L;L;L;L;LI;Lbl
O,I,dans,190,612,1008,BCDEEE+ArialNarrow,#222,399,416,202,214,3,Span,L;L;L;L;L;L;LI;Lbl
O,I,les,190,612,1008,BCDEEE+ArialNarrow,#222,419,430,202,214,3,Span,L;L;L;L;L;L;LI;Lbl
O,I,fiches,190,612,1008,BCDEEE+ArialNarrow,#222,432,454,202,214,3,Span,L;L;L;L;L;L;LI;Lbl
O,I,réglementaires,190,612,1008,BCDEEE+ArialNarrow,#222,457,511,202,214,4,Span,L;L;L;L;L;L;LI;LBody
O,I,des,190,612,1008,BCDEEE+ArialNarrow,#222,514,527,202,214,4,Span,L;L;L;L;L;L;LI;LBody
O,I,types,190,612,1008,BCDEEE+ArialNarrow,#222,85,105,214,225,4,Span,L;L;L;L;L;L;LI;LBody
O,I,de,190,612,1008,BCDEEE+ArialNarrow,#222,107,116,214,225,4,Span,L;L;L;L;L;L;LI;LBody
O,I,milieux,190,612,1008,BCDEEE+ArialNarrow,#222,118,144,214,225,4,Span,L;L;L;L;L;L;LI;LBody
O,I,des,190,612,1008,BCDEEE+ArialNarrow,#222,146,159,214,225,4,Span,L;L;L;L;L;L;LI;LBody
O,I,sections,190,612,1008,BCDEEE+ArialNarrow,#222,162,192,214,225,4,Span,L;L;L;L;L;L;LI;LBody
O,I,2,190,612,1008,BCDEEE+ArialNarrow,#222,194,199,214,225,4,Span,L;L;L;L;L;L;LI;LBody
O,I,à,190,612,1008,BCDEEE+ArialNarrow,#222,201,205,214,225,4,Span,L;L;L;L;L;L;LI;LBody
O,I,10.,190,612,1008,BCDEEE+ArialNarrow,#222,208,219,214,225,4,Span,L;L;L;L;L;L;LI;LBody
O,B-SousSection,DISPOSITIONS,190,612,1008,BCDKEE+ArialNarrow-Bold,#000,193,251,249,260,5,P,H2
